,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770563519883-1.5176447059282883e-06j),-0j
1,SOURCEBUS.2,(-120.08885511278507-207.99999462339198j),(-0+0j)
2,SOURCEBUS.3,(-120.0888504989781+207.99999618162838j),0j
3,SOURCEBUSZ.1,(240.10762924125436-0.08196966789125719j),-0j
4,SOURCEBUSZ.2,(-120.13254065183587-207.9252597637862j),(-0+0j)
5,SOURCEBUSZ.3,(-119.97508856606976+208.0072294721957j),0j
6,1.1,(207.79727584841882-120.17547372659908j),-0j
7,1.2,(-207.9740130893971-119.93786669052876j),(-0+0j)
8,1.3,(0.1458814076764927+240.09266921434624j),0j
9,2.1,(207.78337396939745-120.1662974808574j),-0j
10,2.2,(-207.9702340949219-119.93231231562606j),(-0+0j)
11,2.3,(0.14225501570884586+240.08577153066975j),0j
12,3.1,(207.78281832546975-120.16593071567273j),-0j
13,3.2,(-207.97008305236642-119.93209031292537j),(-0+0j)
14,3.3,(0.142110072520002+240.08549583728734j),0j
15,4.1,(207.78227929749474-120.16557491821878j),-0j
16,4.2,(-207.96993652658125-119.93187494898412j),(-0+0j)
17,4.3,(0.14196946370619226+240.08522838822827j),0j
18,5.1,(207.7817236805191-120.16520817082447j),-0j
19,5.2,(-207.96978549135238-119.93165295705195j),(-0+0j)
20,5.3,(0.14182452754794184+240.08495270821865j),0j
21,6.1,(207.78116803659137-120.16484140563985j),-0j
22,6.2,(-207.96963444879697-119.93143095435131j),(-0+0j)
23,6.3,(0.14167958435912065+240.08467701483613j),0j
24,7.1,(207.78056537477315-120.16444360524645j),-0j
25,7.2,(-207.9694706252104-119.93119016606127j),(-0+0j)
26,7.3,(0.14152237625993758+240.0843779926262j),0j
27,8.1,(207.7799936135063-120.16406620145196j),-0j
28,8.2,(-207.96931520142428-119.93096172381777j),(-0+0j)
29,8.3,(0.14137322876267883+240.08409430231694j),0j
30,9.1,(207.77931979821673-120.16362143462035j),-0j
31,9.2,(-207.9691320359503-119.9306925067767j),(-0+0j)
32,9.3,(0.14119745983621304+240.08375997594877j),0j
33,10.1,(207.7784158257038-120.16302474737279j),-0j
34,10.2,(-207.96888630606503-119.93033133241786j),(-0+0j)
