,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17769249057923-8.5808774963604e-06j),-0j
1,SOURCEBUS.2,(-120.08885510915562-207.9999769804557j),(-0+0j)
2,SOURCEBUS.3,(-120.08883735798796+207.99998560192486j),0j
3,SOURCEBUSZ.1,(239.94414811331882-0.356410353167098j),-0j
4,SOURCEBUSZ.2,(-120.32681097270483-207.601366047466j),(-0+0j)
5,SOURCEBUSZ.3,(-119.6173371172248+207.95777644122475j),0j
6,1.1,(207.2769464482057-120.38193080997267j),-0j
7,1.2,(-207.94582856757987-119.33597859824371j),(-0+0j)
8,1.3,(0.7087690000298336+239.67078768137108j),0j
9,2.1,(207.25237051848285-120.37489294206047j),-0j
10,2.2,(-207.92797375953072-119.3248564634978j),(-0+0j)
11,2.3,(0.7104128615742256+239.63838968373508j),0j
12,3.1,(207.2511772282975-120.37455121668931j),-0j
13,3.2,(-207.92710681502658-119.32431642556703j),(-0+0j)
14,3.3,(0.7104926796673869+239.63681659115866j),0j
15,4.1,(207.24988992763883-120.37418256931345j),-0j
16,4.2,(-207.92617157040195-119.3237338420575j),(-0+0j)
17,4.3,(0.7105787860355168+239.63511956629864j),0j
18,5.1,(207.24856064600112-120.37380189974384j),-0j
19,5.2,(-207.9252058259211-119.32313225954724j),(-0+0j)
20,5.3,(0.710667700473066+239.63336719868354j),0j
21,6.1,(207.24704526957538-120.37336793776376j),-0j
22,6.2,(-207.92410488058496-119.32244645758608j),(-0+0j)
23,6.3,(0.7107690626213433+239.63136950572087j),0j
24,7.1,(207.24576636975382-120.3730016961556j),-0j
25,7.2,(-207.92317573930353-119.32186767597699j),(-0+0j)
26,7.3,(0.7108546070650974+239.62968355553062j),0j
27,8.1,(207.24504658973848-120.37279557102687j),-0j
28,8.2,(-207.92265280755046-119.32154193081035j),(-0+0j)
29,8.3,(0.7109027524944009+239.62873468273133j),0j
30,9.1,(207.21921053443893-120.36539683792752j),-0j
31,9.2,(-207.90388249801055-119.30984951096207j),(-0+0j)
32,9.3,(0.71263090268869+239.59467548465656j),0j
33,10.1,(207.18709937866944-120.35620108926176j),-0j
34,10.2,(-207.8805532270949-119.2953172183688j),(-0+0j)
35,10.3,(0.7147787886347158+239.55234393666765j),0j
36,11.1,(207.18148567007609-120.35459347807279j),-0j
37,11.2,(-207.87647477755056-119.29277666653074j),(-0+0j)
38,11.3,(0.7151542844866434+239.54494348753957j),0j
39,12.1,(207.17543915592157-120.35286192331753j),-0j
40,12.2,(-207.87208188780772-119.29004024329215j),(-0+0j)
41,12.3,(0.7155587303081864+239.53697247877432j),0j
42,13.1,(207.17277084581795-120.35209779295575j),-0j
43,13.2,(-207.8701433176192-119.28883266722627j),(-0+0j)
44,13.3,(0.7157372111393868+239.5334548944802j),0j
45,14.1,(207.16954371759553-120.35117363250944j),-0j
46,14.2,(-207.86779875708345-119.28737219125027j),(-0+0j)
47,14.3,(0.7159530708051736+239.52920063050453j),0j
48,15.1,(207.16759159046367-120.35061459718229j),-0j
49,15.2,(-207.86638050533816-119.28648873246532j),(-0+0j)
50,15.3,(0.7160836468099192+239.52662717709333j),0j
51,16.1,(207.16052398007838-120.3485906286511j),-0j
52,16.2,(-207.8612457727684-119.28329019975638j),(-0+0j)
53,16.3,(0.7165563928273736+239.5173100758869j),0j
54,17.1,(207.15343432329735-120.34656034664066j),-0j
55,17.2,(-207.85609502313758-119.2800816896839j),(-0+0j)
