,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770246563217-2.9020863804419588e-06j),-0j
1,SOURCEBUS.2,(-120.08885476803724-207.99999183218708j),(-0+0j)
2,SOURCEBUS.3,(-120.08884767415921+207.9999947748652j),0j
3,SOURCEBUSZ.1,(240.06469830087661-0.14229525692454928j),-0j
4,SOURCEBUSZ.2,(-120.15695758299142-207.8702270099257j),(-0+0j)
5,SOURCEBUSZ.3,(-119.90774069439263+208.0125223074013j),0j
6,1.1,(207.67516105767672-120.2346125494159j),-0j
7,1.2,(-207.95420136097448-119.82058127890942j),(-0+0j)
8,1.3,(0.2303166884679003+240.03755396135296j),0j
9,2.1,(207.65759846345455-120.22175458877041j),-0j
10,2.2,(-207.94647619584225-119.8119572093327j),(-0+0j)
11,2.3,(0.22667115017439265+240.02890579636204j),0j
12,3.1,(207.65612065485766-120.22067265266571j),-0j
13,3.2,(-207.94582616001608-119.81123153498189j),(-0+0j)
14,3.3,(0.226364395502382+240.02817809449695j),0j
15,4.1,(207.6549596017429-120.21982262020074j),-0j
16,4.2,(-207.9453154537429-119.81066140264731j),(-0+0j)
17,4.3,(0.22612339103935236+240.02760636922804j),0j
18,5.1,(207.65432106291422-120.21935513191137j),-0j
19,5.2,(-207.94503458305635-119.81034784969397j),(-0+0j)
20,5.3,(0.22599084696744892+240.0272919402163j),0j
21,6.1,(207.6536825240854-120.21888764362201j),-0j
22,6.2,(-207.94475371236987-119.81003429674061j),(-0+0j)
23,6.3,(0.22585830289550324+240.02697751120448j),0j
24,7.1,(207.65295447310962-120.2183546215254j),-0j
25,7.2,(-207.94443346845017-119.80967678906315j),(-0+0j)
26,7.3,(0.2257071784273107+240.02661900466023j),0j
27,8.1,(207.65222646251823-120.21782162899505j),-0j
28,8.2,(-207.94411324229418-119.80931930121626j),(-0+0j)
29,8.3,(0.2255560623418034+240.0262605180022j),0j
30,9.1,(207.65108420836756-120.21698535966438j),-0j
31,9.2,(-207.94361080502196-119.80875840006772j),(-0+0j)
32,9.3,(0.22531896005513213+240.0256980497113j),0j
33,10.1,(207.64980713071003-120.21605038308552j),-0j
34,10.2,(-207.94304906364903-119.8081312941609j),(-0+0j)
35,10.3,(0.22505387191103682+240.0250691916879j),0j
36,11.1,(207.61245150874885-120.18870151247044j),-0j
37,11.2,(-207.92661764443187-119.78978790599973j),(-0+0j)
38,11.3,(0.21729981526475062+240.00667455260572j),0j
39,12.1,(207.61109697370424-120.18770982763877j),-0j
40,12.2,(-207.92602183228922-119.78912276482964j),(-0+0j)
41,12.3,(0.21701864897934847+240.00600755304947j),0j
42,13.1,(207.6099195648844-120.1868478208034j),-0j
43,13.2,(-207.92550393171928-119.78854460106554j),(-0+0j)
44,13.3,(0.21677424949650145+240.00542777391166j),0j
45,14.1,(207.60890993328763-120.18610864735501j),-0j
46,14.2,(-207.92505983042633-119.78804882390264j),(-0+0j)
47,14.3,(0.21656467620640998+240.00493061156098j),0j
48,15.1,(207.60776769932906-120.18527239280762j),-0j
49,15.2,(-207.92455740203616-119.78748793266956j),(-0+0j)
50,15.3,(0.2163275781109092+240.00436815321302j),0j
51,16.1,(207.60675810811688-120.1845332489256j),-0j
52,16.2,(-207.92411331850693-119.78699217533742j),(-0+0j)
53,16.3,(0.21611801320358173+240.00387101074838j),0j
54,17.1,(207.60574847652023-120.18379407547737j),-0j
55,17.2,(-207.92366921721396-119.7864963981746j),(-0+0j)
56,17.3,(0.21590843991346723+240.00337384839756j),0j
57,18.1,(207.60439392128353-120.18280237586275j),-0j
58,18.2,(-207.92307339618958-119.78583124708939j),(-0+0j)
59,18.3,(0.21562726943657054+240.00270683889815j),0j
60,19.1,(207.60356139571937-120.18219286562747j),-0j
61,19.2,(-207.92270719758739-119.78542243741707j),(-0+0j)
62,19.3,(0.21545445875775854+240.00229688702288j),0j
63,20.1,(207.60189630420666-120.1809738155904j),-0j
64,20.2,(-207.9219747826193-119.78460479824173j),(-0+0j)
65,20.3,(0.21510882901729797+240.00147696338632j),0j
66,21.1,(207.58801798391784-120.17081319274591j),-0j
67,21.2,(-207.91587019951842-119.77778988250328j),(-0+0j)
68,21.3,(0.2122280502712779+239.99464300696206j),0j
69,22.1,(207.58635293278954-120.16959417227517j),-0j
