,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770601671367-9.195429995817815e-07j),-0j
1,SOURCEBUS.2,(-120.08885485553914-207.99999651043078j),(-0+0j)
2,SOURCEBUS.3,(-120.08885113773884+207.99999747056546j),0j
3,SOURCEBUSZ.1,(240.10804423747703-0.0667885271453364j),-0j
4,SOURCEBUSZ.2,(-120.10703291271467-207.95706468432792j),(-0+0j)
5,SOURCEBUSZ.3,(-120.00101130131615+208.02385325198665j),0j
6,1.1,(207.81224324205525-120.17651945302698j),-0j
7,1.2,(-207.9630477822835-119.98518192798547j),(-0+0j)
8,1.3,(0.0847082065146369+240.14704232298348j),0j
9,2.1,(207.8045977557614-120.17033485473802j),-0j
10,2.2,(-207.9626879037706-119.98121359699498j),(-0+0j)
11,2.3,(0.08269143564090017+240.1477773490501j),0j
12,3.1,(207.80396074376716-120.16981956203614j),-0j
13,3.2,(-207.96265791915985-119.98088296080772j),(-0+0j)
14,3.3,(0.08252340090950795+240.14783859046787j),0j
15,4.1,(207.80343544073455-120.16939463311573j),-0j
16,4.2,(-207.96263319276994-119.98061030629972j),(-0+0j)
17,4.3,(0.08238483341815878+240.14788909234662j),0j
18,5.1,(207.80305419759833-120.1690862373437j),-0j
19,5.2,(-207.9626152473826-119.98041242497547j),(-0+0j)
20,5.3,(0.08228426688472858+240.14792574451397j),0j
21,6.1,(207.80250165681144-120.16863927521813j),-0j
22,6.2,(-207.96258923889226-119.98012563292026j),(-0+0j)
23,6.3,(0.0821385144599516+240.1479788649913j),0j
24,7.1,(207.80187797081533-120.16813476220267j),-0j
25,7.2,(-207.96255988154599-119.97980191349008j),(-0+0j)
26,7.3,(0.081973994937777+240.14803882526687j),0j
27,8.1,(207.80113316711729-120.16753227447334j),-0j
28,8.2,(-207.96252482310277-119.97941532884622j),(-0+0j)
29,8.3,(0.08177752628326453+240.1481104296242j),0j
30,9.1,(207.8004835125096-120.16700675488961j),-0j
31,9.2,(-207.96249424339535-119.97907813060765j),(-0+0j)
32,9.3,(0.08160615660960843+240.14817288648464j),0j
33,10.1,(207.79968097502345-120.1663575650575j),-0j
34,10.2,(-207.96245646738143-119.97866157968421j),(-0+0j)
35,10.3,(0.08139445860045912+240.14825004128534j),0j
36,11.1,(207.7900094977127-120.15853409906327j),-0j
37,11.2,(-207.96200122402215-119.97364167360601j),(-0+0j)
38,11.3,(0.07884326002361278+240.14917984321647j),0j
39,12.1,(207.7890325507358-120.15774382564312j),-0j
40,12.2,(-207.96195523842877-119.97313459677484j),(-0+0j)
41,12.3,(0.07858555526377003+240.14927376549508j),0j
42,13.1,(207.7883386835908-120.15718254158699j),-0j
43,13.2,(-207.96192257760555-119.97277445035797j),(-0+0j)
44,13.3,(0.07840252294966722+240.14934047288537j),0j
45,14.1,(207.78751344797618-120.15651499075052j),-0j
46,14.2,(-207.96188373317457-119.97234611814508j),(-0+0j)
47,14.3,(0.07818483749598353+240.14941980985162j),0j
48,15.1,(207.78661338175715-120.15578690782881j),-0j
49,15.2,(-207.96184136641347-119.97187894568118j),(-0+0j)
50,15.3,(0.07794741278989203+240.1495063409248j),0j
51,16.1,(207.78590255203216-120.15521190237695j),-0j
52,16.2,(-207.9618079071495-119.97150999496733j),(-0+0j)
53,16.3,(0.07775990598770426+240.14957467907328j),0j
54,17.1,(207.78505663183256-120.15452761933483j),-0j
55,17.2,(-207.96176808908027-119.97107092657929j),(-0+0j)
56,17.3,(0.07753676423379774+240.14965600462602j),0j
57,18.1,(207.77981983188988-120.15029145923624j),-0j
58,18.2,(-207.9615215891586-119.96835280575584j),(-0+0j)
59,18.3,(0.07615537066446862+240.15015946304933j),0j
60,19.1,(207.7791098197857-120.14971711517536j),-0j
61,19.2,(-207.96148816838073-119.9679842794218j),(-0+0j)
62,19.3,(0.07596807953899212+240.15022772259306j),0j
63,20.1,(207.7784751630275-120.14920372767452j),-0j
64,20.2,(-207.96145829463293-119.9676548657018j),(-0+0j)
65,20.3,(0.07580066608525922+240.150288737582j),0j
66,21.1,(207.77793903567238-120.14877004272684j),-0j
67,21.2,(-207.96143305873463-119.96737659291239j),(-0+0j)
68,21.3,(0.07565924329091622+240.15034028009572j),0j
69,22.1,(207.77725033052107-120.1482129343184j),-0j
70,22.2,(-207.96140064089028-119.96701912578865j),(-0+0j)
71,22.3,(0.07547757263734965+240.15040649121966j),0j
72,23.1,(207.77680931564635-120.14785618790165j),-0j
73,23.2,(-207.96137988200462-119.96679022040226j),(-0+0j)
74,23.3,(0.07536123916667349+240.1504488897562j),0j
75,24.1,(207.77633984268786-120.14747642112891j),-0j
76,24.2,(-207.96135778357666-119.96654654406584j),(-0+0j)
77,24.3,(0.07523739885699496+240.1504940242121j),0j
78,25.1,(207.7757051615228-120.14696301388506j),-0j
79,25.2,(-207.96132790868023-119.96621711767769j),(-0+0j)
80,25.3,(0.07506997896485464+240.15055504154745j),0j
81,26.1,(207.77515708714174-120.1465196647314j),-0j
82,26.2,(-207.96130211042714-119.96593264387622j),(-0+0j)
83,26.3,(0.07492540471426905+240.15060773263104j),0j
84,27.1,(207.76994310735788-120.14230196435328j),-0j
85,27.2,(-207.96105668467044-119.9632263676831j),(-0+0j)
86,27.3,(0.07355003077590547+240.15110899715648j),0j
87,28.1,(207.755671353959-120.13075723610292j),-0j
88,28.2,(-207.96038490303297-119.95581872360724j),(-0+0j)
89,28.3,(0.06978534458732018+240.15248106302403j),0j
90,29.1,(207.74878234991564-120.12518457257836j),-0j
91,29.2,(-207.96006063268663-119.9522430389268j),(-0+0j)
92,29.3,(0.0679681229993173+240.15314336197542j),0j
93,30.1,(207.72405725409533-120.10518391083538j),-0j
94,30.2,(-207.95889680474662-119.93940966768909j),(-0+0j)
95,30.3,(0.06144599329706077+240.15552039716545j),0j
96,31.1,(207.710435936315-120.09416533394504j),-0j
97,31.2,(-207.9582556395788-119.93233962722934j),(-0+0j)
98,31.3,(0.05785288280214844+240.15682993108732j),0j
99,32.1,(207.70385274684193-120.0888400504033j),-0j
100,32.2,(-207.95794576414303-119.92892267325473j),(-0+0j)
101,32.3,(0.056116330761604084+240.15746282946537j),0j
102,33.1,(207.69964773548128-120.08543852628138j),-0j
103,33.2,(-207.9577478312515-119.9267400943785j),(-0+0j)
104,33.3,(0.05500710838716094+240.15786709321637j),0j
105,34.1,(207.6607265466904-120.05395433963564j),-0j
106,34.2,(-207.95591578306457-119.90653835002955j),(-0+0j)
107,34.3,(0.04474025064438469+240.1616089203894j),0j
108,35.1,(207.5442753846673-119.95975449029551j),-0j
109,35.2,(-207.95043434360008-119.84609526806292j),(-0+0j)
110,35.3,(0.014022085253804873+240.17280436780317j),0j
111,36.1,(207.53901491032985-119.95549917947301j),-0j
112,36.2,(-207.95018672931144-119.84336485922853j),(-0+0j)
113,36.3,(0.01263444671146846+240.17331010224834j),0j
114,37.1,(207.53345399087183-119.95100083213104j),-0j
115,37.2,(-207.94992497285605-119.84047850665993j),(-0+0j)
116,37.3,(0.011167555006366897+240.1738447210557j),0j
117,38.1,(207.52595628647842-119.94493577780266j),-0j
118,38.2,(-207.9495720505488-119.83658688073398j),(-0+0j)
119,38.3,(0.009189766896891575+240.17456553958428j),0j
120,39.1,(207.52465932029548-119.94388663396478j),-0j
121,39.2,(-207.94951100142296-119.8359137003899j),(-0+0j)
122,39.3,(0.008847645607502721+240.1746902280498j),0j
123,40.1,(207.52372443807562-119.94313038763173j),-0j
124,40.2,(-207.9494669958483-119.8354284569482j),(-0+0j)
125,40.3,(0.00860103693355555+240.17478010628324j),0j
126,41.1,(207.52264321394307-119.94225576217836j),-0j
127,41.2,(-207.94941610185515-119.8348672558598j),(-0+0j)
128,41.3,(0.00831582533805722+240.17488405361777j),0j
129,42.1,(207.52154032896206-119.94136361479879j),-0j
130,42.2,(-207.94936418827032-119.83429481187416j),(-0+0j)
131,42.3,(0.008024899917861308+240.17499008339513j),0j
132,43.1,(207.52030486738516-119.94036422335961j),-0j
133,43.2,(-207.9493060342104-119.83365355502383j),(-0+0j)
134,43.3,(0.0076990026714814025+240.175108858896j),0j
135,44.1,(207.51896872862525-119.93928339198193j),-0j
136,44.2,(-207.94924314120345-119.83296004245429j),(-0+0j)
137,44.3,(0.007346548211711986+240.1752373133566j),0j
138,45.1,(207.51578086189525-119.93670465802631j),-0j
139,45.2,(-207.94909308603673-119.83130540469237j),(-0+0j)
140,45.3,(0.006505634169000643+240.17554379028374j),0j
141,46.1,(207.5083017065093-119.93065460838895j),-0j
142,46.2,(-207.9487410368441-119.82742340648569j),(-0+0j)
143,46.3,(0.00453273902500341+240.17626282553658j),0j
144,47.1,(207.49698644536764-119.92150145030699j),-0j
145,47.2,(-207.94820841941026-119.82155030702559j),(-0+0j)
146,47.3,(0.0015479335746684314+240.17735065848518j),0j
147,48.1,(207.47209660506428-119.90136752320805j),-0j
148,48.2,(-207.94703683682764-119.80863142642544j),(-0+0j)
149,48.3,(-0.005017653384832536+240.17974353197064j),0j
150,49.1,(207.3391783168789-119.79384706137162j),-0j
151,49.2,(-207.94078027794808-119.73964120898248j),(-0+0j)
152,49.3,(-0.04007961316226631+240.192522105222j),0j
153,50.1,(207.25291566580256-119.72406734776258j),-0j
154,50.2,(-207.93671983327224-119.69486724193682j),(-0+0j)
155,50.3,(-0.06283447739970854+240.2008152725558j),0j
156,51.1,(207.25083951923918-119.7223879081581j),-0j
157,51.2,(-207.93662210756875-119.6937896339958j),(-0+0j)
158,51.3,(-0.06338213542544645+240.20101487030337j),0j
159,52.1,(207.24775293985707-119.71989110771635j),-0j
160,52.2,(-207.9364768200698-119.69218756865449j),(-0+0j)
161,52.3,(-0.06419633130180678+240.20131160961037j),0j
162,53.1,(207.24633479495546-119.71874393980697j),-0j
163,53.2,(-207.93641006697501-119.69145149142636j),(-0+0j)
164,53.3,(-0.0645704178189033+240.2014479480236j),0j
165,54.1,(207.24518685540977-119.71781534682097j),-0j
166,54.2,(-207.93635603263957-119.6908556622146j),(-0+0j)
167,54.3,(-0.06487322799434828+240.20155830928218j),0j
168,55.1,(207.2342614895423-119.7089775834113j),-0j
169,55.2,(-207.93584176785413-119.68518493490411j),(-0+0j)
170,55.3,(-0.06775518459880187+240.2026086582586j),0j
171,56.1,(207.23329120556397-119.70819269983443j),-0j
172,56.2,(-207.93579609589338-119.6846813164513j),(-0+0j)
173,56.3,(-0.06801113175459506+240.2027019399662j),0j
174,57.1,(207.23243166648683-119.7074974001899j),-0j
175,57.2,(-207.93575563677445-119.68423517928966j),(-0+0j)
176,57.3,(-0.06823786597574455+240.20278457481817j),0j
177,58.1,(207.23152000713716-119.70675993933588j),-0j
178,58.2,(-207.935712724317-119.6837619895005j),(-0+0j)
179,58.3,(-0.0684783487858093+240.2028722204383j),0j
180,59.1,(207.21331655797272-119.68884578179353j),(1.000004810301637+0.3286857139487321j)
181,59.2,(-207.93617181300252-119.68324841658895j),(-0+0j)
182,59.3,(-0.0689374374713286+240.20338579334987j),0j
183,60.1,(207.2303237842953-119.7057879289849j),-0j
184,60.2,(-207.9355867841054-119.68312232056915j),(-0+0j)
185,60.3,(-0.06877469809827289+240.20293738696162j),0j
186,61.1,(207.17920922094652-119.66425395812041j),-0j
187,61.2,(-207.9302053629373-119.6557892878189j),(-0+0j)
188,61.3,(-0.08143769463396543+240.20572195039233j),0j
189,62.1,(207.15894048644813-119.64778426782152j),-0j
190,62.2,(-207.92807143887077-119.64495077238308j),(-0+0j)
191,62.3,(-0.08645902119772142+240.20682612840295j),0j
192,63.1,(207.14291741889937-119.6347644633445j),-0j
193,63.2,(-207.9263845052605-119.63638258747886j),(-0+0j)
194,63.3,(-0.09042853664634208+240.2076990156003j),0j
195,64.1,(207.13810845693212-119.63085686298257j),-0j
196,64.2,(-207.92587821022374-119.63381104022619j),(-0+0j)
197,64.3,(-0.09161989708728487+240.2079609929852j),0j
198,65.1,(207.13081205637855-119.62492805388858j),-0j
199,65.2,(-207.92511003376234-119.62990935854819j),(-0+0j)
200,65.3,(-0.0934274894617226+240.2083584783364j),0j
201,66.1,(207.11647226452925-119.61249093852628j),-0j
202,66.2,(-207.92357134428235-119.62199250251426j),(-0+0j)
203,66.3,(-0.09721642673966259+240.20948043973388j),0j
204,67.1,(207.0564250142173-119.56041106266947j),-0j
205,67.2,(-207.91712814947658-119.58884101461588j),(-0+0j)
206,67.3,(-0.11308243564237028+240.2141786039463j),0j
207,68.1,(207.04916706473546-119.55411613482478j),-0j
208,68.2,(-207.91634935640684-119.58483397310839j),(-0+0j)
209,68.3,(-0.11500017026798025+240.2147464740541j),0j
210,69.1,(207.0418132737927-119.54773808225146j),-0j
211,69.2,(-207.915560279349-119.58077401848631j),(-0+0j)
212,69.3,(-0.11694322864211804+240.21532184290527j),0j
213,70.1,(206.97263407825034-119.48773793408556j),-0j
214,70.2,(-207.90813720783314-119.54258087472199j),(-0+0j)
215,70.3,(-0.13522212945157253+240.22073450075413j),0j
216,71.1,(206.9726340782512-119.48773793408603j),-0j
217,71.2,(-207.9081372078331-119.54258087472198j),(-0+0j)
218,71.3,(-0.13522212945158216+240.22073450075325j),0j
219,72.1,(206.9620913919349-119.47859410499025j),-0j
220,72.2,(-207.90700595567185-119.5367603627754j),(-0+0j)
221,72.3,(-0.1380077749902644+240.2215593723564j),0j
222,73.1,(206.97263407825133-119.48773793408611j),-0j
223,73.2,(-207.90813720783308-119.54258087472196j),(-0+0j)
224,73.3,(-0.13522212945158488+240.2207345007531j),0j
225,74.1,(206.95079604240317-119.46879747986084j),-0j
226,74.2,(-207.9057939411826-119.53052431297527j),(-0+0j)
227,74.3,(-0.1409922932704689+240.22244313317293j),0j
228,75.1,(206.9726340782515-119.4877379340862j),-0j
229,75.2,(-207.90813720783305-119.54258087472198j),(-0+0j)
230,75.3,(-0.13522212945158582+240.22073450075305j),0j
231,76.1,(206.9507960424026-119.46879747986054j),-0j
232,76.2,(-207.90579394118322-119.53052431297525j),(-0+0j)
233,76.3,(-0.14099229327065368+240.2224431331729j),0j
234,77.1,(206.86959207222444-119.39836806528712j),-0j
235,77.2,(-207.89708058632982-119.48569241108011j),(-0+0j)
236,77.3,(-0.1624484450010087+240.22879662288113j),0j
237,78.1,(206.97263407825176-119.48773793408634j),-0j
238,78.2,(-207.90813720783302-119.54258087472199j),(-0+0j)
239,78.3,(-0.13522212945158577+240.22073450075308j),0j
240,79.1,(206.95079604240237-119.46879747986036j),-0j
241,79.2,(-207.90579394118348-119.5305243129752j),(-0+0j)
242,79.3,(-0.14099229327070265+240.22244313317287j),0j
243,80.1,(206.8147074484524-119.35076581243102j),-0j
244,80.2,(-207.89119135207403-119.45539115779063j),(-0+0j)
