,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17768314448026-1.5527116858324103e-05j),-0j
1,SOURCEBUS.2,(-120.0888515829792-207.9999672125126j),(-0+0j)
2,SOURCEBUS.3,(-120.08883153806532+207.9999827802212j),0j
3,SOURCEBUSZ.1,(239.8491039462691-0.5868628043389503j),-0j
4,SOURCEBUSZ.2,(-120.36967837208147-207.3832248507767j),(-0+0j)
5,SOURCEBUSZ.3,(-119.47942555081654+207.97008769558445j),0j
6,1.1,(207.02007587652915-120.56941019031908j),-0j
7,1.2,(-207.87103180914485-118.83706766702441j),(-0+0j)
8,1.3,(0.875126587663961+239.49604382445438j),0j
9,2.1,(207.00339328494874-120.56322908980718j),-0j
10,2.2,(-207.84591092416687-118.81535833996779j),(-0+0j)
11,2.3,(0.8879410701511349+239.4745390658529j),0j
12,3.1,(207.00240166818077-120.56286168388687j),-0j
13,3.2,(-207.8444177334563-118.81406793298098j),(-0+0j)
14,3.3,(0.8887027656976327+239.47326081845827j),0j
15,4.1,(207.00142646460418-120.5625003592511j),-0j
16,4.2,(-207.84294925796388-118.81279888474631j),(-0+0j)
17,4.3,(0.889451853697504+239.47200372855073j),0j
18,5.1,(207.00043797157886-120.56213411071506j),-0j
19,5.2,(-207.8414607710297-118.8115125427366j),(-0+0j)
20,5.3,(0.8902111497879167+239.47072950782842j),0j
21,6.1,(206.99945525657472-120.56177000300534j),-0j
22,6.2,(-207.83998098472242-118.8102337197596j),(-0+0j)
23,6.3,(0.890966007578113+239.46946273528636j),0j
24,7.1,(206.99846743163303-120.56140400200238j),-0j
25,7.2,(-207.83849350379836-118.80894824713802j),(-0+0j)
26,7.3,(0.891724790489984+239.46818937575986j),0j
27,8.1,(206.9974686103948-120.56103392673944j),-0j
28,8.2,(-207.83698946449374-118.80764846485735j),(-0+0j)
29,8.3,(0.8924920200420865+239.46690184141525j),0j
30,9.1,(206.99649291929757-120.5606724214715j),-0j
31,9.2,(-207.83552025488606-118.80637878220438j),(-0+0j)
32,9.3,(0.8932414825234695+239.46564412306742j),0j
33,10.1,(206.99549964134846-120.56030440006361j),-0j
34,10.2,(-207.8340245627453-118.80508621349563j),(-0+0j)
35,10.3,(0.8940044540813677+239.46436373432095j),0j
36,11.1,(206.99279679139056-120.55930296169717j),-0j
37,11.2,(-207.82995457262405-118.80156895099772j),(-0+0j)
38,11.3,(0.8960806077355131+239.46087961522508j),0j
39,12.1,(206.9796212780912-120.55442127580217j),-0j
40,12.2,(-207.8101146962697-118.78442344179852j),(-0+0j)
41,12.3,(0.9062011806520727+239.44389566931616j),0j
42,13.1,(206.9750665723535-120.55273370263134j),-0j
43,13.2,(-207.80325615523114-118.77849632933226j),(-0+0j)
44,13.3,(0.9096998095468835+239.43802440843072j),0j
45,14.1,(206.97053172856351-120.55105348855069j),-0j
46,14.2,(-207.79642752259758-118.77259506354086j),(-0+0j)
47,14.3,(0.9131831817844651+239.4321787506651j),0j
48,15.1,(206.96599255125756-120.54937166885034j),-0j
49,15.2,(-207.7895923644938-118.76668815847485j),(-0+0j)
50,15.3,(0.9166698827472428+239.42632750676427j),0j
51,16.1,(206.96419396161022-120.54870526978767j),-0j
