,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17769619936735-4.7152872546360854e-06j),-0j
1,SOURCEBUS.2,(-120.08885501239286-207.99998646048363j),(-0+0j)
2,SOURCEBUS.3,(-120.08884116353879+207.9999912163626j),0j
3,SOURCEBUSZ.1,(239.96964715073912-0.24460127865156966j),-0j
4,SOURCEBUSZ.2,(-120.22061228782343-207.77431559837333j),(-0+0j)
5,SOURCEBUSZ.3,(-119.74903483950538+208.0189169175331j),0j
6,1.1,(207.39797044927974-120.34416448991851j),-0j
7,1.2,(-207.92279162676894-119.63494363424739j),(-0+0j)
8,1.3,(0.4387680682546111+239.91892895409202j),0j
9,2.1,(207.36559970686227-120.32880871854779j),-0j
10,2.2,(-207.91527497674076-119.6207364238656j),(-0+0j)
11,2.3,(0.4346540522483628+239.90281672965685j),0j
12,3.1,(207.36454275475356-120.32830733014212j),-0j
13,3.2,(-207.91502954711808-119.62027253765696j),(-0+0j)
14,3.3,(0.4345197236056353+239.90229064195165j),0j
15,4.1,(207.3630350729688-120.32759212823252j),-0j
16,4.2,(-207.91467945578592-119.61961083048827j),(-0+0j)
17,4.3,(0.4343281114728882+239.9015402079032j),0j
18,5.1,(207.36153826755682-120.32688208576872j),-0j
19,5.2,(-207.9143318900024-119.61895389685587j),(-0+0j)
20,5.3,(0.43413788162454864+239.9007951874642j),0j
21,6.1,(207.36000826706197-120.32615629648956j),-0j
22,6.2,(-207.91397661615284-119.6182823942178j),(-0+0j)
23,6.3,(0.4339434329942006+239.9000336444934j),0j
24,7.1,(207.35896979494402-120.32566367447245j),-0j
25,7.2,(-207.9137354776771-119.61782661870063j),(-0+0j)
26,7.3,(0.43381145298393625+239.89951675502533j),0j
27,8.1,(207.35796060536748-120.32518494327095j),-0j
28,8.2,(-207.91350113875578-119.617383695012j),(-0+0j)
29,8.3,(0.43368319450846265+239.89901444065944j),0j
30,9.1,(207.34253387345314-120.31786693476451j),-0j
31,9.2,(-207.90991897361914-119.61061304937479j),(-0+0j)
32,9.3,(0.43172260240229987+239.89133593382678j),0j
33,10.1,(207.3042795548253-120.29972016001786j),-0j
34,10.2,(-207.9010361274484-119.59382359345108j),(-0+0j)
35,10.3,(0.4268608393570369+239.87229521615643j),0j
36,11.1,(207.29300036273122-120.29436962795782j),-0j
37,11.2,(-207.89841704202493-119.58887326351942j),(-0+0j)
38,11.3,(0.4254273604383589+239.8666811072161j),0j
39,12.1,(207.28277017462747-120.28951671393934j),-0j
40,12.2,(-207.8960415406309-119.58438333144315j),(-0+0j)
41,12.3,(0.4241272000316491+239.86158912988157j),0j
42,13.1,(207.2715633276362-120.28420050036499j),-0j
43,13.2,(-207.89343925410603-119.57946475308778j),(-0+0j)
44,13.3,(0.42270291549305533+239.85601103001747j),0j
45,14.1,(207.25203728596998-120.27493789440275j),-0j
46,14.2,(-207.88890520852198-119.5708949594625j),(-0+0j)
47,14.3,(0.4202213397861267+239.8462921313432j),0j
48,15.1,(207.18757140153593-120.2443570887422j),-0j
49,15.2,(-207.87393590426493-119.54260149707464j),(-0+0j)
50,15.3,(0.4120283339803133+239.81420485992015j),0j
51,16.1,(207.169003317302-120.23554891089076j),-0j
52,16.2,(-207.86962430123938-119.53445214183816j),(-0+0j)
53,16.3,(0.40966850562669144+239.80496277530665j),0j
54,17.1,(207.12141057469435-120.2129722499898j),-0j
55,17.2,(-207.85857302581235-119.513564140615j),(-0+0j)
56,17.3,(0.40361991698297645+239.7812739472821j),0j
57,18.1,(207.0754738951534-120.19118117891283j),-0j
58,18.2,(-207.84790629660134-119.4934029696914j),(-0+0j)
59,18.3,(0.3977817983333735+239.7584094086564j),0j
60,19.1,(207.0581282955132-120.18295291343064j),-0j
61,19.2,(-207.8438785606784-119.48579015129407j),(-0+0j)
62,19.3,(0.3955773362399721+239.74977580394383j),0j
63,20.1,(207.0330265134263-120.17104533275479j),-0j
64,20.2,(-207.83804979998195-119.47477321832903j),(-0+0j)
65,20.3,(0.3923871365215568+239.73728163432068j),0j
66,21.1,(207.0283949504184-120.16884824929743j),-0j
67,21.2,(-207.8369743276378-119.47274046945863j),(-0+0j)
68,21.3,(0.3917985085527398+239.73497631856102j),0j
69,22.1,(207.01818272555428-120.16400385653563j),-0j
70,22.2,(-207.834602997399-119.46825842127726j),(-0+0j)
71,22.3,(0.39050063110427025+239.72989328225563j),0j
72,23.1,(207.0099137295221-120.16008127697457j),-0j
73,23.2,(-207.83268289471857-119.4646292377134j),(-0+0j)
74,23.3,(0.38944971970988823+239.72577746933533j),0j
75,24.1,(207.00397085000853-120.15726214178291j),-0j
76,24.2,(-207.83130292805274-119.4620209645241j),(-0+0j)
77,24.3,(0.38869443578279683+239.7228194584486j),0j
78,25.1,(206.99965770388164-120.15521610635422j),-0j
79,25.2,(-207.83030139371795-119.46012796578863j),(-0+0j)
80,25.3,(0.38814627559598397+239.7206726316164j),0j
81,26.1,(206.99435313456073-120.15269976759693j),-0j
82,26.2,(-207.82906964590555-119.45779984086046j),(-0+0j)
83,26.3,(0.3874721148732697+239.7180323334637j),0j
84,27.1,(206.9807242030574-120.14623458513138j),-0j
85,27.2,(-207.82590493911272-119.45181823269284j),(-0+0j)
86,27.3,(0.38574000624070076+239.7112486644241j),0j
87,28.1,(206.9548276091274-120.13394996803189j),-0j
88,28.2,(-207.8198916190881-119.44045246438388j),(-0+0j)
89,28.3,(0.38244879343441646+239.6983588848817j),0j
90,29.1,(206.88778781389482-120.10214817135206j),-0j
91,29.2,(-207.80432463973128-119.41102933707387j),(-0+0j)
92,29.3,(0.37392866784585815+239.6649904742154j),0j
93,30.1,(206.83944393803355-120.08289682346627j),-0j
94,30.2,(-207.79517121518833-119.39382128456438j),(-0+0j)
95,30.3,(0.3671055209934514+239.63449327477923j),0j
96,31.1,(206.87113406244725-120.08175582765406j),-0j
97,31.2,(-207.79435978847562-119.39817485463706j),(-0+0j)
98,31.3,(0.3710382458915602+239.6671339253989j),0j
99,32.1,(206.70744974411065-120.03033450609213j),-0j
100,32.2,(-207.770179447924-119.34683781500352j),(-0+0j)
101,32.3,(0.34847615475513627+239.55122619731074j),0j
102,33.1,(206.86571718863763-120.07512292257915j),-0j
103,33.2,(-207.7911185763108-119.3939937480878j),(-0+0j)
104,33.3,(0.3700980942967222+239.66783111393408j),0j
105,34.1,(206.61220052238858-119.99240465726322j),-0j
106,34.2,(-207.75214496996216-119.3129337562228j),(-0+0j)
107,34.3,(0.33503289196725233+239.4911392791802j),0j
108,35.1,(206.82378990484185-120.02378340402306j),-0j
109,35.2,(-207.76603118696886-119.3616314581338j),(-0+0j)
110,35.3,(0.362821202843608+239.67322744078245j),0j
111,36.1,(206.54415442681267-119.96530755272079j),-0j
112,36.2,(-207.7392611291406-119.28871267827076j),(-0+0j)
113,36.3,(0.32542901775205524+239.44821315233065j),0j
114,37.1,(206.7641947129543-119.95080971761222j),-0j
115,37.2,(-207.7303721209278-119.31563189161935j),(-0+0j)
116,37.3,(0.3524778726005969+239.6808977476783j),0j
117,38.1,(206.54415442681264-119.96530755272069j),-0j
118,38.2,(-207.73926112914054-119.28871267827068j),(-0+0j)
119,38.3,(0.32542901775211575+239.44821315233074j),0j
120,39.1,(206.5384327442514-119.96302908208683j),-0j
121,39.2,(-207.73817778634583-119.28667603945762j),(-0+0j)
122,39.3,(0.32462147223233595+239.44460369216478j),0j
123,40.1,(206.72681516742085-119.90503885678375j),-0j
124,40.2,(-207.7080058923691-119.286779851101j),(-0+0j)
125,40.3,(0.3459902857409484+239.68570874965317j),0j
126,41.1,(206.54415442681264-119.96530755272072j),-0j
127,41.2,(-207.73926112914052-119.28871267827067j),(-0+0j)
128,41.3,(0.32542901775211613+239.44821315233077j),0j
129,42.1,(206.33492104412258-119.88198728582596j),-0j
130,42.2,(-207.6996449017213-119.21423583974972j),(-0+0j)
131,42.3,(0.2958982846216507+239.31622058683791j),0j
132,43.1,(206.7049155503358-119.8782230057216j),-0j
133,43.2,(-207.69490215250062-119.26987625769296j),(-0+0j)
134,43.3,(0.34218939233781326+239.68852737945556j),0j
135,44.1,(206.1270756212608-119.79921972797712j),-0j
136,44.2,(-207.66029147047487-119.14025304696203j),(-0+0j)
137,44.3,(0.26656344504678553+239.18510360045295j),0j
138,45.1,(206.70491555033502-119.87822300572176j),-0j
139,45.2,(-207.69490215250107-119.26987625769344j),(-0+0j)
