,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770800241033-1.3432570018465788e-06j),-0j
1,SOURCEBUS.2,(-120.08885564412898-207.99999426183703j),(-0+0j)
2,SOURCEBUS.3,(-120.08885233484564+207.99999564568574j),0j
3,SOURCEBUSZ.1,(240.14916089467926-0.05269377288820806j),-0j
4,SOURCEBUSZ.2,(-120.14627652865865-207.9244758151401j),(-0+0j)
5,SOURCEBUSZ.3,(-120.00288434277887+207.97716962860693j),0j
6,1.1,(207.89542880513014-120.12004294493735j),-0j
7,1.2,(-208.0079207107404-119.96432519061786j),(-0+0j)
8,1.3,(0.15376478803628774+240.06134270191873j),0j
9,2.1,(207.89478222914948-120.12029856978012j),-0j
10,2.2,(-208.00723304118523-119.96456906060521j),(-0+0j)
11,2.3,(0.1536000378448189+240.05916621074223j),0j
12,3.1,(207.89453787393379-120.1203951760035j),-0j
13,3.2,(-208.00697315580817-119.96466122441137j),(-0+0j)
14,3.3,(0.15353777514132294+240.0583436670862j),0j
15,4.1,(207.89435878878243-120.12046597760299j),-0j
16,4.2,(-208.0067826887786-119.96472877021398j),(-0+0j)
17,4.3,(0.15349214351583043+240.05774083421971j),0j
18,5.1,(207.89414888244136-120.1205489644089j),-0j
19,5.2,(-208.00655944169782-119.96480794088882j),(-0+0j)
20,5.3,(0.15343865852573088+240.05703425167906j),0j
21,6.1,(207.8939340151231-120.12063391254502j),-0j
22,6.2,(-208.00633091834158-119.96488898270246j),(-0+0j)
23,6.3,(0.15338390945843242+240.056310969596j),0j
24,7.1,(207.89364314073478-120.12074891019721j),-0j
25,7.2,(-208.00602155723433-119.96499869221132j),(-0+0j)
26,7.3,(0.15330979348036877+240.05533183402892j),0j
27,8.1,(207.89341306069545-120.12083987270674j),-0j
28,8.2,(-208.00577685430218-119.96508547182866j),(-0+0j)
29,8.3,(0.15325116814983886+240.0545573431875j),0j
30,9.1,(207.89323816858263-120.12090901658179j),-0j
31,9.2,(-208.00559084680268-119.96515143613694j),(-0+0j)
32,9.3,(0.15320660492768395+240.05396862484406j),0j
33,10.1,(207.89297016274412-120.12101497311644j),-0j
34,10.2,(-208.00530580767185-119.96525252028223j),(-0+0j)
35,10.3,(0.1531383159492661+240.05306646893405j),0j
