,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770668566325-2.2081886073179073e-06j),-0j
1,SOURCEBUS.2,(-120.08885455264725-207.99999433253862j),(-0+0j)
2,SOURCEBUS.3,(-120.0888521095803+207.99999658131895j),0j
3,SOURCEBUSZ.1,(240.1345179075101-0.08307442652271654j),-0j
4,SOURCEBUSZ.2,(-120.12546251182467-207.91375094244336j),(-0+0j)
5,SOURCEBUSZ.3,(-120.0090553722911+207.99682540951395j),0j
6,1.1,(207.87124584883935-120.15600856408037j),-0j
7,1.2,(-207.98192851472294-119.91018440696003j),(-0+0j)
8,1.3,(0.11428460632953327+240.0864931801322j),0j
9,2.1,(207.87091232978187-120.15577726622622j),-0j
10,2.2,(-207.9812699230138-119.90976116519958j),(-0+0j)
11,2.3,(0.11445945059584432+240.08602845723414j),0j
12,3.1,(207.87052427246752-120.15550814570041j),-0j
13,3.2,(-207.980503635978-119.90926871339738j),(-0+0j)
14,3.3,(0.11466288603641954+240.08548774114706j),0j
15,4.1,(207.87040045926815-120.15542228036033j),-0j
16,4.2,(-207.98025914516205-119.90911159219172j),(-0+0j)
17,4.3,(0.11472779395537797+240.08531522078434j),0j
18,5.1,(207.87025425713873-120.15532088813708j),-0j
19,5.2,(-207.9799704434884-119.9089260590261j),(-0+0j)
20,5.3,(0.11480443906262652+240.08511150385837j),0j
21,6.1,(207.87007044312105-120.15519341180003j),-0j
22,6.2,(-207.97960747056362-119.90869279568903j),(-0+0j)
23,6.3,(0.11490080185259051+240.08485537881594j),0j
24,7.1,(207.8699008067206-120.15507576774208j),-0j
25,7.2,(-207.97927249382388-119.90847752400673j),(-0+0j)
26,7.3,(0.11498973215839085+240.08461900875687j),0j
27,8.1,(207.86968505593813-120.15492614302994j),-0j
28,8.2,(-207.97884645617177-119.90820373233332j),(-0+0j)
29,8.3,(0.11510283750029346+240.0843183832717j),0j
30,9.1,(207.86952445780523-120.15481476707507j),-0j
31,9.2,(-207.97852932707175-119.90799993037693j),(-0+0j)
32,9.3,(0.11518702957844432+240.08409460706534j),0j
33,10.1,(207.86938360176427-120.15471708240231j),-0j
34,10.2,(-207.9782511821851-119.90782118149485j),(-0+0j)
35,10.3,(0.11526087204835253+240.0838983393385j),0j
36,11.1,(207.86918234889868-120.15457751209911j),-0j
37,11.2,(-207.97785377320525-119.90756578794185j),(-0+0j)
38,11.3,(0.1153663769921532+240.08361791513957j),0j
39,12.1,(207.8688649612846-120.15435740151615j),-0j
40,12.2,(-207.9772270358533-119.90716301727676j),(-0+0j)
