,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770294205383-3.2656989931867182e-06j),-0j
1,SOURCEBUS.2,(-120.08885493391988-207.99999082188026j),(-0+0j)
2,SOURCEBUS.3,(-120.0888479846982+207.99999412817095j),0j
3,SOURCEBUSZ.1,(240.0774486888614-0.14372194545031694j),-0j
4,SOURCEBUSZ.2,(-120.17113105410083-207.85350901501332j),(-0+0j)
5,SOURCEBUSZ.3,(-119.90631761146396+207.99723100114403j),0j
6,1.1,(207.6999035997181-120.22003617268466j),-0j
7,1.2,(-207.96812556311613-119.79935231995101j),(-0+0j)
8,1.3,(0.25664849808677265+240.00519334970875j),0j
9,2.1,(207.66494786759043-120.19351881608618j),-0j
10,2.2,(-207.9399650582566-119.78604482074874j),(-0+0j)
11,2.3,(0.24708634173302985+239.96951748794348j),0j
12,3.1,(207.6627077505314-120.1918194672452j),-0j
13,3.2,(-207.93816040924796-119.78519201767004j),(-0+0j)
14,3.3,(0.2464735566970785+239.96723122180984j),0j
15,4.1,(207.66098877871903-120.19051545826704j),-0j
16,4.2,(-207.93677559734067-119.78453761237996j),(-0+0j)
17,4.3,(0.24600333117936107+239.96547683713447j),0j
18,5.1,(207.6583871022652-120.18854183110835j),-0j
19,5.2,(-207.93467967435583-119.78354716517075j),(-0+0j)
20,5.3,(0.24529164140718895+239.96282156305284j),0j
21,6.1,(207.65618235327938-120.18686931242526j),-0j
22,6.2,(-207.93290351803606-119.78270782656774j),(-0+0j)
23,6.3,(0.24468853132362856+239.96057139361693j),0j
24,7.1,(207.6536022756489-120.18491207009596j),-0j
25,7.2,(-207.9308249951664-119.7817256019392j),(-0+0j)
26,7.3,(0.24398274991933935+239.95793816331994j),0j
27,8.1,(207.37490136714322-119.97349005360336j),-0j
28,8.2,(-207.70630221132924-119.67562534623366j),(-0+0j)
29,8.3,(0.16774399017958402+239.67349568476774j),0j
30,9.1,(207.366976317047-119.96747812461065j),-0j
31,9.2,(-207.699917753097-119.67260831322079j),(-0+0j)
32,9.3,(0.1655760891366579+239.66540736921795j),0j
33,10.1,(207.36152261414094-119.96334095522738j),-0j
34,10.2,(-207.69552422397186-119.67053211161824j),(-0+0j)
35,10.3,(0.16408422623687297+239.6598413135483j),0j
36,11.1,(207.35417778698238-119.9577691823292j),-0j
37,11.2,(-207.6896071961109-119.66773596702056j),(-0+0j)
38,11.3,(0.16207504544137785+239.65234517421848j),0j
39,12.1,(207.34606620159343-119.95161574799299j),-0j
40,12.2,(-207.68307246415506-119.66464792081135j),(-0+0j)
41,12.3,(0.1598561175846844+239.64406648052739j),0j
42,13.1,(207.33817035899722-119.94562597575793j),-0j
43,13.2,(-207.67671153562415-119.66164200696974j),(-0+0j)
44,13.3,(0.15769620626661623+239.63600797418704j),0j
45,14.1,(207.3277464722996-119.93771843373676j),-0j
46,14.2,(-207.66831400268325-119.65767367744373j),(-0+0j)
47,14.3,(0.15484474733964584+239.6253693430314j),0j
48,15.1,(207.14730548375528-119.80083621881505j),-0j
49,15.2,(-207.52294987995683-119.58898055717928j),(-0+0j)
50,15.3,(0.10548503320446054+239.44121105561183j),0j
51,16.1,(206.87007476789285-119.59052948785704j),-0j
52,16.2,(-207.29961149033-119.48343999757928j),(-0+0j)
53,16.3,(0.02964844532677929+239.15826905742625j),0j
54,17.1,(206.70099279692246-119.46226420358613j),-0j
55,17.2,(-207.16339824644763-119.4190712072056j),(-0+0j)
56,17.3,(-0.016604004406786426+238.98570379684665j),0j
57,18.1,(206.69828508988107-119.46021014181123j),-0j
58,18.2,(-207.16121690471454-119.41804039460068j),(-0+0j)
59,18.3,(-0.017344698894248688+238.9829403078213j),0j
60,19.1,(206.69667094599444-119.4589856551123j),-0j
61,19.2,(-207.1599165426852-119.41742589685806j),(-0+0j)
62,19.3,(-0.01778624868550108+238.98129291065175j),0j
63,20.1,(206.69541919600255-119.45803607978125j),-0j
64,20.2,(-207.15890812690935-119.41694936093653j),(-0+0j)
65,20.3,(-0.018128665462672586+238.98001537312206j),0j
66,21.1,(206.69433675133297-119.45721493916851j),-0j
67,21.2,(-207.15803610431044-119.41653727883437j),(-0+0j)
68,21.3,(-0.01842476869227876+238.97891062880555j),0j
69,22.1,(206.6934286189859-119.4565260315754j),-0j
70,22.2,(-207.15730450855142-119.41619155669518j),(-0+0j)
71,22.3,(-0.018673188707094206+238.9779837878526j),0j
72,23.1,(206.6909631623842-119.45465574055586j),-0j
73,23.2,(-207.15531832493008-119.41525296780658j),(-0+0j)
74,23.3,(-0.019347615476992763+238.97546753991378j),0j
75,24.1,(206.68869180066372-119.45293268957003j),-0j
76,24.2,(-207.1534885050726-119.41438827001743j),(-0+0j)
77,24.3,(-0.019968947504283695+238.97314938544133j),0j
78,25.1,(206.68694072514566-119.45160432677763j),-0j
79,25.2,(-207.15207783026642-119.41372164298247j),(-0+0j)
80,25.3,(-0.020447955005253038+238.97136223568566j),0j
81,26.1,(206.68576619094748-119.45071332721125j),-0j
82,26.2,(-207.1511316199029-119.41327450278668j),(-0+0j)
83,26.3,(-0.02076924936706+238.9701635046864j),0j
84,27.1,(206.52483041258043-119.32862773025751j),-0j
85,27.2,(-207.0214809876979-119.35200693343624j),(-0+0j)
86,27.3,(-0.0647933044238295+238.8059122579267j),0j
87,28.1,(206.52303734207737-119.32726751014384j),-0j
88,28.2,(-207.02003648153112-119.3513243190884j),(-0+0j)
89,28.3,(-0.06528379967198171+238.80408224803932j),0j
90,29.1,(206.52197514630484-119.32646173030858j),-0j
91,29.2,(-207.0191807715403-119.35091994565556j),(-0+0j)
92,29.3,(-0.06557436380662218+238.80299816977112j),0j
93,30.1,(206.52056560218156-119.32539245262853j),-0j
94,30.2,(-207.01804523605819-119.35038333817641j),(-0+0j)
95,30.3,(-0.06595994523994818+238.8015595873632j),0j
96,31.1,(206.5192638312782-119.32440493152261j),-0j
97,31.2,(-207.01699652319695-119.34988775950573j),(-0+0j)
98,31.3,(-0.06631604526008553+238.80023099843157j),0j
