,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770374696394-2.657718418255329e-06j),-0j
1,SOURCEBUS.2,(-120.08885565414795-207.9999907951465j),(-0+0j)
2,SOURCEBUS.3,(-120.08884806938032+207.99999349345657j),0j
3,SOURCEBUSZ.1,(240.08552671361969-0.12369576760486507j),-0j
4,SOURCEBUSZ.2,(-120.18464603330806-207.86095160139655j),(-0+0j)
5,SOURCEBUSZ.3,(-119.90088065698878+207.98464740971576j),0j
6,1.1,(207.71200934486-120.19698506827143j),-0j
7,1.2,(-207.98428817868165-119.83598077317077j),(-0+0j)
8,1.3,(0.28308472365056864+239.98885026759433j),0j
9,2.1,(207.69924667685-120.19226094958312j),-0j
10,2.2,(-207.9786833444408-119.83375404391111j),(-0+0j)
11,2.3,(0.27964173703092565+239.97291754154693j),0j
12,3.1,(207.69859782575836-120.19202077648093j),-0j
13,3.2,(-207.97839839596344-119.83364083751029j),(-0+0j)
14,3.3,(0.27946669638706645+239.97210752543728j),0j
15,4.1,(207.6979482854261-120.19178034825546j),-0j
16,4.2,(-207.97811314480018-119.83352751085619j),(-0+0j)
17,4.3,(0.27929146980668496+239.97129664888982j),0j
18,5.1,(207.696920610475-120.19139995299354j),-0j
19,5.2,(-207.97766183260183-119.8333482102678j),(-0+0j)
20,5.3,(0.2790142338006987+239.97001371467488j),0j
21,6.1,(207.69582797459827-120.19099551235777j),-0j
22,6.2,(-207.97718199226017-119.83315757581141j),(-0+0j)
23,6.3,(0.2787194732774295+239.96864968420087j),0j
24,7.1,(207.69466734513742-120.19056590380563j),-0j
25,7.2,(-207.97667229195733-119.83295507837276j),(-0+0j)
26,7.3,(0.27840637011611036+239.96720077154157j),0j
27,8.1,(207.69377116005995-120.19023417969676j),-0j
28,8.2,(-207.97627872465554-119.83279871909627j),(-0+0j)
29,8.3,(0.27816460615061794+239.96608198734086j),0j
30,9.1,(207.6654502642112-120.17975116209885j),-0j
31,9.2,(-207.96384136227564-119.82785751342811j),(-0+0j)
32,9.3,(0.2705244743773075+239.93072659967794j),0j
33,10.1,(207.65616188570831-120.17631305633333j),-0j
34,10.2,(-207.95976229182608-119.82623695069053j),(-0+0j)
35,10.3,(0.2680187472950308+239.91913112528053j),0j
36,11.1,(207.64687350720547-120.17287495056785j),-0j
37,11.2,(-207.95568322137657-119.82461638795297j),(-0+0j)
38,11.3,(0.26551302021275647+239.90753565088312j),0j
39,12.1,(207.64288745656265-120.17139950857417j),-0j
40,12.2,(-207.95393271332148-119.82392093339757j),(-0+0j)
41,12.3,(0.2644377028100534+239.90255952419295j),0j
42,13.1,(207.6391845114923-120.17002885848794j),-0j
43,13.2,(-207.95230653348727-119.8232748728609j),(-0+0j)
44,13.3,(0.26343875883465406+239.8979368223137j),0j
45,14.1,(207.6357383085417-120.16875324184187j),-0j
46,14.2,(-207.95079310413948-119.82267360665648j),(-0+0j)
47,14.3,(0.26250907621447683+239.89363463350102j),0j
48,15.1,(207.63162974538398-120.16723245167653j),-0j
49,15.2,(-207.9489887936711-119.82195677708775j),(-0+0j)
50,15.3,(0.26140070859462344+239.88850556399848j),0j
51,16.1,(207.60989971267878-120.15918905091522j),-0j
52,16.2,(-207.93944586491915-119.81816549303664j),(-0+0j)
53,16.3,(0.2555385948325267+239.8613781124399j),0j
54,17.1,(207.57911305861933-120.14779332960829j),-0j
55,17.2,(-207.92592564384142-119.81279408140071j),(-0+0j)
56,17.3,(0.24723327514430035+239.8229445086814j),0j
57,18.1,(207.5700583326767-120.14444171065175j),-0j
58,18.2,(-207.92194918390175-119.81121428451225j),(-0+0j)
59,18.3,(0.24479058054364244+239.81164072268547j),0j
60,19.1,(207.52042611778137-120.12607027971605j),-0j
61,19.2,(-207.90015277443618-119.80255484863807j),(-0+0j)
62,19.3,(0.23140129144618268+239.74968059940454j),0j
63,20.1,(207.49986951718077-120.11846122642262j),-0j
64,20.2,(-207.8911251683771-119.79896829572944j),(-0+0j)
65,20.3,(0.22585573461618866+239.72401804313662j),0j
66,21.1,(207.47372662159717-120.10878439854599j),-0j
67,21.2,(-207.8796442933454-119.79440709030361j),(-0+0j)
68,21.3,(0.21880316225872287+239.6913816388033j),0j
69,22.1,(207.44758889531792-120.09910948409433j),-0j
70,22.2,(-207.86816568845782-119.78984678677713j),(-0+0j)
71,22.3,(0.2117519844251572+239.65875168775324j),0j
72,23.1,(207.43854881573768-120.09576328650847j),-0j
73,23.2,(-207.86419566059308-119.78826954527003j),(-0+0j)
74,23.3,(0.20931324097555595+239.64746618605975j),0j
75,24.1,(207.4339958647093-120.09407800557656j),-0j
76,24.2,(-207.8621961934105-119.78747518242425j),(-0+0j)
77,24.3,(0.20808499078170276+239.64178234930975j),0j
78,25.1,(207.4282443242947-120.09194906517506j),-0j
79,25.2,(-207.85967035550075-119.78647169919253j),(-0+0j)
80,25.3,(0.20653339697252626+239.63460221129077j),0j
81,26.1,(207.41493319308745-120.08702193209872j),-0j
82,26.2,(-207.85382465897388-119.78414927841486j),(-0+0j)
83,26.3,(0.20294245136736686+239.61798479189227j),0j
84,27.1,(207.39109236107447-120.0781972161411j),-0j
85,27.2,(-207.84335475474666-119.77998971881303j),(-0+0j)
86,27.3,(0.19651090699994+239.58822224968605j),0j
87,28.1,(207.35268098298585-120.06397919300395j),-0j
88,28.2,(-207.82648607123744-119.77328800569921j),(-0+0j)
89,28.3,(0.18614866451376155+239.54027005317965j),0j
90,29.1,(207.32812506386063-120.05488978659237j),-0j
91,29.2,(-207.81570213042056-119.76900368336004j),(-0+0j)
92,29.3,(0.1795242110026059+239.5096148067948j),0j
93,30.1,(207.31985038595565-120.05182690346349j),-0j
94,30.2,(-207.81206823521387-119.76755998307672j),(-0+0j)
95,30.3,(0.17729195006294377+239.49928482123659j),0j
96,31.1,(207.31186742913042-120.04887200128371j),-0j
97,31.2,(-207.80856245180152-119.76616717997761j),(-0+0j)
98,31.3,(0.17513838675702972+239.4893190159615j),0j
99,32.1,(207.3048938651496-120.0462907272196j),-0j
100,32.2,(-207.80549995184506-119.76495048774976j),(-0+0j)
101,32.3,(0.17325712749064892+239.48061332178958j),0j
102,33.1,(207.3003688283652-120.04461577878254j),-0j
103,33.2,(-207.80351274344022-119.76416099516021j),(-0+0j)
104,33.3,(0.17203640772599263+239.47496433276905j),0j
105,34.1,(207.28595715224606-120.03928127753089j),-0j
106,34.2,(-207.7971837332513-119.76164656002065j),(-0+0j)
107,34.3,(0.16814856797602862+239.45697300937292j),0j
108,35.1,(207.2531062226193-120.02712146185354j),-0j
109,35.2,(-207.7827569679949-119.75591498992864j),(-0+0j)
110,35.3,(0.15928636839770907+239.415962394515j),0j
111,36.1,(207.22728210080894-120.01756262851725j),-0j
112,36.2,(-207.77141608517832-119.75140940162709j),(-0+0j)
113,36.3,(0.15231979168231893+239.38372394264633j),0j
114,37.1,(207.18224195134573-120.0008909567632j),-0j
115,37.2,(-207.75163632031936-119.7435511529706j),(-0+0j)
116,37.3,(0.1401693046758226+239.3274964859576j),0j
117,38.1,(207.16775152948904-119.99552730767118j),-0j
118,38.2,(-207.74527272826998-119.74102297889826j),(-0+0j)
119,38.3,(0.1362602216779333+239.3094068575471j),0j
120,39.1,(207.15646555944596-119.99134979071736j),-0j
121,39.2,(-207.74031639849943-119.73905389220594j),(-0+0j)
122,39.3,(0.13321560406459018+239.29531761940405j),0j
123,40.1,(207.14764913843732-119.98808638065205j),-0j
124,40.2,(-207.7364445921995-119.73751567287565j),(-0+0j)
125,40.3,(0.13083719701689084+239.2843113297644j),0j
126,41.1,(207.11384016439013-119.97557194354722j),-0j
127,41.2,(-207.7215970935849-119.73161695077917j),(-0+0j)
128,41.3,(0.1217165456698704+239.24210470641643j),0j
129,42.1,(206.86824306491005-119.88466384765941j),-0j
130,42.2,(-207.61374103769978-119.68876711346986j),(-0+0j)
131,42.3,(0.055461784046903134+238.93550491848313j),0j
132,43.1,(206.84631487553509-119.87654709894143j),-0j
133,43.2,(-207.60411108676112-119.68494125661243j),(-0+0j)
134,43.3,(0.049546213533517916+238.90813009106728j),0j
135,44.1,(206.79636216376548-119.8580570356587j),-0j
136,44.2,(-207.5821739283679-119.67622590298227j),(-0+0j)
137,44.3,(0.036070463951245114+238.84576986422584j),0j
138,45.1,(206.7675691381128-119.84739925858196j),-0j
139,45.2,(-207.56952922616887-119.67120232384606j),(-0+0j)
140,45.3,(0.028302965658064366+238.80982507669498j),0j
141,46.1,(206.767569138113-119.84739925858209j),-0j
142,46.2,(-207.56952922616878-119.67120232384623j),(-0+0j)
143,46.3,(0.028302965658161015+238.80982507669495j),0j
144,47.1,(206.7532605034616-119.84210289826798j),-0j
145,47.2,(-207.5632454675177-119.668705866566j),(-0+0j)
146,47.3,(0.024442923418271645+238.79196238874422j),0j
147,48.1,(206.76756913811303-119.84739925858209j),-0j
148,48.2,(-207.5695292261687-119.67120232384625j),(-0+0j)
149,48.3,(0.028302965658175052+238.80982507669498j),0j
150,49.1,(206.7387792140427-119.83674262956013j),-0j
151,49.2,(-207.55688588605622-119.66617928584924j),(-0+0j)
152,49.3,(0.020536304079218103+238.77388416113388j),0j
153,50.1,(206.76756913811306-119.84739925858212j),-0j
154,50.2,(-207.5695292261687-119.67120232384626j),(-0+0j)
155,50.3,(0.02830296565817589+238.80982507669495j),0j
156,51.1,(206.72099163751295-119.83015853424229j),-0j
157,51.2,(-207.54907432047867-119.66307585033623j),(-0+0j)
158,51.3,(0.015737747234159112+238.75167841357646j),0j
159,52.1,(206.61496403443215-119.79091227470609j),-0j
160,52.2,(-207.50251139645644-119.64457699366478j),(-0+0j)
161,52.3,(-0.012865333105605642+238.6193151214664j),0j
162,53.1,(206.5556135272164-119.76894360483037j),-0j
163,53.2,(-207.47644711623244-119.63422198709617j),(-0+0j)
164,53.3,(-0.028876327193588996+238.5452228257317j),0j
165,54.1,(206.4552549279896-119.73179573467662j),-0j
166,54.2,(-207.43237378348684-119.61671221333067j),(-0+0j)
167,54.3,(-0.05595007962263917+238.41993663421883j),0j
168,55.1,(206.44693958489-119.7287177992717j),-0j
169,55.2,(-207.42872202981408-119.61526141810657j),(-0+0j)
170,55.3,(-0.05819331081732872+238.40955588283236j),0j
171,56.1,(206.38738058239565-119.7066719545888j),-0j
172,56.2,(-207.40256618711493-119.60487003493267j),(-0+0j)
173,56.3,(-0.07426055070388447+238.33520330467488j),0j
174,57.1,(206.2462862383481-119.66822021201331j),-0j
175,57.2,(-207.4414489459933-119.6280728328588j),(-0+0j)
176,57.3,(-0.16430614052910486+238.1763251594453j),0j
177,58.1,(206.343404069675-119.6831820300671j),-0j
178,58.2,(-207.3588611409638-119.58663785080397j),(-0+0j)
179,58.3,(-0.0789189088622514+238.27384413613706j),0j
180,59.1,(206.16069127775722-119.64489344145689j),-0j
181,59.2,(-207.46503719282433-119.64214882284612j),(-0+0j)
182,59.3,(-0.21893234659352506+238.07994164619052j),0j
183,60.1,(206.32150316122366-119.66155421973995j),-0j
184,60.2,(-207.35941334987544-119.58601794417027j),(-0+0j)
185,60.3,(-0.07947111777386481+238.27446404277097j),0j
186,61.1,(206.31240028274095-119.66860634940372j),-0j
187,61.2,(-207.31885475456411-119.5739101208188j),(-0+0j)
188,61.3,(-0.08029928825158322+238.21846192393207j),0j
189,62.1,(206.16013360169467-119.64659607659672j),-0j
190,62.2,(-207.46559486889083-119.64385145797998j),(-0+0j)
191,62.3,(-0.23553111593526843+238.01562245383496j),0j
192,63.1,(206.14779729583114-119.63731584066072j),-0j
193,63.2,(-207.46772917318077-119.64072512053377j),(-0+0j)
194,63.3,(-0.2256699403364691+238.07291624572326j),0j
195,64.1,(206.29768557394888-119.63803363103136j),(1.0000087221465537+0.3286905317875211j)
196,64.2,(-207.36001388587488-119.58534378581817j),(-0+0j)
