,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770950107703-1.7819807055832765e-07j),-0j
1,SOURCEBUS.2,(-120.08885528694151-207.99999772732443j),(-0+0j)
2,SOURCEBUS.3,(-120.08885419069985+207.99999794611412j),0j
3,SOURCEBUSZ.1,(240.16383729669624-0.01480013629573833j),-0j
4,SOURCEBUSZ.2,(-120.10154765194245-207.98415388044316j),(-0+0j)
5,SOURCEBUSZ.3,(-120.06228962146693+207.9989540575135j),0j
6,1.1,(207.95743847506924-120.10378591138847j),-0j
7,1.2,(-207.99754182388415-120.06110382476822j),(-0+0j)
8,1.3,(0.03834971033297688+240.15480535268577j),0j
9,2.1,(207.95689821429036-120.10422161562794j),-0j
10,2.2,(-207.9973980489448-120.06132569340589j),(-0+0j)
11,2.3,(0.03846149854594034+240.15348841630512j),0j
12,3.1,(207.9030011922826-120.05022804728578j),(1.0000000512064087+0.3286841430566671j)
13,3.2,(-207.99891474991557-120.05956837344938j),(-0+0j)
14,3.3,(0.03697678430159838+240.1563408040046j),0j
15,4.1,(207.95672926560127-120.10435786771758j),-0j
16,4.2,(-207.99735308808786-120.06139507548384j),(-0+0j)
17,4.3,(0.03849645661214533+240.15307658801058j),0j
18,5.1,(207.95660270495705-120.10445993511044j),-0j
19,5.2,(-207.99731940759568-120.06144705008346j),(-0+0j)
20,5.3,(0.038522643943889524+240.1527680845561j),0j
21,6.1,(207.95632291512214-120.10468557728494j),-0j
22,6.2,(-207.9972449495414-120.06156195124194j),(-0+0j)
23,6.3,(0.03858053673703754+240.15208607056138j),0j
24,7.1,(207.95533750084118-120.10548028457409j),-0j
25,7.2,(-207.9969827097426-120.06196663085646j),(-0+0j)
26,7.3,(0.038784434012504344+240.14968403072157j),0j
27,8.1,(207.95471817558104-120.10597975196364j),-0j
28,8.2,(-207.9968178940557-120.06222096886675j),(-0+0j)
29,8.3,(0.03891258187433718+240.1481743672457j),0j
30,9.1,(207.95461137926077-120.10606588001747j),-0j
31,9.2,(-207.99678947327263-120.0622648268609j),(-0+0j)
32,9.3,(0.03893467966525902+240.14791404118688j),0j
33,10.1,(207.95450496371456-120.10615170098848j),-0j
34,10.2,(-207.99676115382158-120.0623085284828j),(-0+0j)
35,10.3,(0.038956698668254866+240.14765464330034j),0j
36,11.1,(207.9543977722516-120.10623814771314j),-0j
37,11.2,(-207.9967326278824-120.06235254875003j),(-0+0j)
38,11.3,(0.03897887822037806+240.14739335404397j),0j
39,12.1,(207.95429096874693-120.10632428156103j),-0j
40,12.2,(-207.99670420518737-120.0623964096947j),(-0+0j)
41,12.3,(0.03900097749787621+240.1471330104725j),0j
42,13.1,(207.9541844598033-120.10641017785407j),-0j
43,13.2,(-207.9966758608813-120.06244014967193j),(-0+0j)
44,13.3,(0.03902301582624195+240.14687338492132j),0j
45,14.1,(207.95407792930638-120.1064960915292j),-0j
46,14.2,(-207.99664751083947-120.06248389850042j),(-0+0j)
47,14.3,(0.03904505861434501+240.14661370683208j),0j
48,15.1,(207.95397084560958-120.10658245134361j),-0j
49,15.2,(-207.99661901357922-120.06252787451128j),(-0+0j)
50,15.3,(0.039067215868005496+240.14635268026603j),0j
51,16.1,(207.95386394870766-120.10666866051379j),-0j
