,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770763396905-1.3164545061365508e-06j),-0j
1,SOURCEBUS.2,(-120.08885498074913-207.99999556212356j),(-0+0j)
2,SOURCEBUS.3,(-120.08885262978421+207.99999691916972j),0j
3,SOURCEBUSZ.1,(240.14210255704467-0.05626016624166058j),-0j
4,SOURCEBUSZ.2,(-120.11977687181383-207.94103674521574j),(-0+0j)
5,SOURCEBUSZ.3,(-120.02232566180875+207.9972969519255j),0j
6,1.1,(207.89284813350685-120.1372232447832j),-0j
7,1.2,(-207.98831145524048-119.97188988025495j),(-0+0j)
8,1.3,(0.0954609258387579+240.1091089272183j),0j
9,2.1,(207.89217317169303-120.13707112863074j),-0j
10,2.2,(-207.98784243064554-119.97138155155562j),(-0+0j)
11,2.3,(0.09566654945647243+240.1084484708099j),0j
12,3.1,(207.8920335713842-120.13703966690734j),-0j
13,3.2,(-207.9877454237084-119.97127641546948j),(-0+0j)
14,3.3,(0.09570907796684221+240.1083118706102j),0j
15,4.1,(207.8919499581578-120.1370208229934j),-0j
16,4.2,(-207.98768732166664-119.97121344449589j),(-0+0j)
17,4.3,(0.09573455030265324+240.1082300542912j),0j
18,5.1,(207.89186544325963-120.13700177586982j),-0j
19,5.2,(-207.9876285930618-119.97114979445345j),(-0+0j)
20,5.3,(0.09576029732811832+240.10814735567791j),0j
21,6.1,(207.89176154645762-120.13697836064625j),-0j
22,6.2,(-207.9875563961549-119.97107154746973j),(-0+0j)
23,6.3,(0.09579194895010117+240.10804569169176j),0j
24,7.1,(207.89161002793276-120.13694421291434j),-0j
25,7.2,(-207.9874511073626-119.97095743551142j),(-0+0j)
26,7.3,(0.09583810828288711+240.10789742940744j),0j
27,8.1,(207.89148238352087-120.13691544569151j),-0j
28,8.2,(-207.987362408466-119.97086130367644j),(-0+0j)
29,8.3,(0.09587699449100053+240.1077725281646j),0j
30,9.1,(207.89135501633933-120.13688674094807j),-0j
31,9.2,(-207.98727390221413-119.97076538062979j),(-0+0j)
32,9.3,(0.09591579624228008+240.10764789819433j),0j
33,10.1,(207.8912051019824-120.13685295474738j),-0j
34,10.2,(-207.98716972814324-119.97065247680577j),(-0+0j)
35,10.3,(0.09596146687349674+240.10750120560365j),0j
36,11.1,(207.89111358903511-120.1368323304731j),-0j
37,11.2,(-207.98710613666046-119.9705835563774j),(-0+0j)
38,11.3,(0.09598934581813777+240.10741165933484j),0j
39,12.1,(207.89089484617566-120.13678303239155j),-0j
40,12.2,(-207.9869541343132-119.97041881628286j),(-0+0j)
41,12.3,(0.09605598469557519+240.10719761741535j),0j
42,13.1,(207.88950223444328-120.13646917946426j),-0j
43,13.2,(-207.98598642157242-119.96937000952836j),(-0+0j)
44,13.3,(0.09648023663563933+240.10583493390192j),0j
45,14.1,(207.8887906136162-120.13630880146764j),-0j
46,14.2,(-207.98549192298037-119.96883407211473j),(-0+0j)
47,14.3,(0.09669702822905533+240.10513860631377j),0j
48,15.1,(207.88468302806385-120.13538307484875j),-0j
49,15.2,(-207.98263760057273-119.96574055841506j),(-0+0j)
50,15.3,(0.09794838285948068+240.1011192957036j),0j
51,16.1,(207.8844965273689-120.13534104318428j),-0j
52,16.2,(-207.98250800300121-119.96560010060907j),(-0+0j)
53,16.3,(0.09800519932869095+240.10093680304158j),0j
54,17.1,(207.88427740499984-120.13529165957252j),-0j
55,17.2,(-207.98235573693637-119.96543507469724j),(-0+0j)
56,17.3,(0.09807195382175088+240.10072238976855j),0j
57,18.1,(207.8841124259968-120.13525447825201j),-0j
58,18.2,(-207.98224109458533-119.96531082535418j),(-0+0j)
59,18.3,(0.0981222138191295+240.100560956282j),0j
60,19.1,(207.8839997331853-120.13522908067134j),-0j
61,19.2,(-207.982162785415-119.96522595390061j),(-0+0j)
62,19.3,(0.09815654509946617+240.10045068531954j),0j
63,20.1,(207.88373218700934-120.13516878378567j),-0j
64,20.2,(-207.98197687010415-119.96502445894677j),(-0+0j)
65,20.3,(0.09823805165396914+240.10018888890173j),0j
66,21.1,(207.88346615618005-120.13510882841366j),-0j
67,21.2,(-207.98179200779347-119.96482410523407j),(-0+0j)
68,21.3,(0.09831909656590886+240.0999285752648j),0j
69,22.1,(207.88319880917916-120.1350485764162j),-0j
70,22.2,(-207.9816062308877-119.96462276028355j),(-0+0j)
71,22.3,(0.09840054244265274+240.09966697374185j),0j
72,23.1,(207.8829300571854-120.1349880077755j),-0j
73,23.2,(-207.98141947766572-119.96442035720177j),(-0+0j)
74,23.3,(0.0984824163432113+240.09940399742024j),0j
75,24.1,(207.88266325387912-120.1349278783105j),-0j
76,24.2,(-207.98123407856824-119.96421942171975j),(-0+0j)
77,24.3,(0.09856369658618633+240.0991429279074j),0j
78,25.1,(207.88239612489448-120.13486767544727j),-0j
79,25.2,(-207.98104845315981-119.96401824096206j),(-0+0j)
80,25.3,(0.0986450760455143+240.09888153971528j),0j
81,26.1,(207.88094540244052-120.13454072610594j),-0j
82,26.2,(-207.98004035982785-119.96292566973445j),(-0+0j)
83,26.3,(0.09908703111547774+240.09746199432217j),0j
84,27.1,(207.8772738491659-120.13371326808902j),-0j
85,27.2,(-207.97748903213326-119.96016054160317j),(-0+0j)
86,27.3,(0.100205550774282+240.09386934534766j),0j
87,28.1,(207.87166141394258-120.13244839347784j),-0j
88,28.2,(-207.97358900390307-119.95593369226687j),(-0+0j)
89,28.3,(0.10191535005033324+240.08837752536274j),0j
90,29.1,(207.86799201391383-120.13162142073782j),-0j
91,29.2,(-207.97103917247867-119.95317018579252j),(-0+0j)
92,29.3,(0.10303321373393154+240.08478698335944j),0j
93,30.1,(207.86515269014768-120.13098152229752j),-0j
94,30.2,(-207.9690661532096-119.95103182814569j),(-0+0j)
95,30.3,(0.103898198990031+240.08200867868757j),0j
96,31.1,(207.86279297497182-120.1304497132526j),-0j
97,31.2,(-207.96742640942034-119.94925467435633j),(-0+0j)
98,31.3,(0.10461707397711993+240.079699675475j),0j
99,32.1,(207.8617091386895-120.1302054490533j),-0j
100,32.2,(-207.96667326182418-119.94843841323475j),(-0+0j)
101,32.3,(0.10494725907794736+240.0786391316079j),0j
102,33.1,(207.86117954788054-120.13008609516477j),-0j
103,33.2,(-207.966305254173-119.94803956666108j),(-0+0j)
104,33.3,(0.1051085961704217+240.07812092208354j),0j
105,34.1,(207.85239107507496-120.1281054369157j),-0j
106,34.2,(-207.96019822742474-119.94142077304241j),(-0+0j)
107,34.3,(0.10778595881869041+240.06952131983255j),0j
108,35.1,(207.8346442921996-120.12410584419065j),-0j
109,35.2,(-207.94786615561787-119.92805527759798j),(-0+0j)
110,35.3,(0.11319242415637604+240.0521559279908j),0j
111,36.1,(207.83197313693145-120.12350384588736j),-0j
112,36.2,(-207.94600999505013-119.92604357137374j),(-0+0j)
113,36.3,(0.11400617775170879+240.04954217775634j),0j
114,37.1,(207.8312695638605-120.12334528161374j),-0j
115,37.2,(-207.94552108876803-119.92551369490307j),(-0+0j)
116,37.3,(0.11422051763791437+240.04885372497287j),0j
117,38.1,(207.8306157307679-120.12319792723993j),-0j
118,38.2,(-207.9450667463273-119.92502127871246j),(-0+0j)
119,38.3,(0.11441970449766646+240.04821394322005j),0j
120,39.1,(207.82598705972657-120.12215476357859j),-0j
121,39.2,(-207.94185032653715-119.92153532398271j),(-0+0j)
122,39.3,(0.11582980511833112+240.0436847456223j),0j
123,40.1,(207.82180518719252-120.12121229490343j),-0j
124,40.2,(-207.93894438280975-119.91838586310949j),(-0+0j)
125,40.3,(0.11710379089164726+240.03959274451304j),0j
126,41.1,(207.81569131484838-120.11983441140241j),-0j
127,41.2,(-207.93469591066156-119.9137813703674j),(-0+0j)
128,41.3,(0.11896635038452157+240.03361026364814j),0j
129,42.1,(207.81296261408573-120.11921944407109j),-0j
130,42.2,(-207.93279976227333-119.91172632535671j),(-0+0j)
131,42.3,(0.11979763491629727+240.0309402046118j),0j
132,43.1,(207.81225102017396-120.11905907214071j),-0j
133,43.2,(-207.93230528238502-119.91119040821334j),(-0+0j)
134,43.3,(0.12001441830984197+240.030243903361j),0j
135,44.1,(207.81025091798145-120.1186082863141j),-0j
136,44.2,(-207.93091516668957-119.90968398209445j),(-0+0j)
137,44.3,(0.12062394195203643+240.02828662034224j),0j
138,45.1,(207.80180789011615-120.11670538489767j),-0j
139,45.2,(-207.92504707375113-119.90332490817012j),(-0+0j)
140,45.3,(0.12319692303014236+240.02002434497982j),0j
141,46.1,(207.80019057835204-120.11634087291269j),-0j
142,46.2,(-207.92392300595296-119.90210679006952j),(-0+0j)
143,46.3,(0.1236897927248405+240.0184416574232j),0j
144,47.1,(207.79873652375875-120.11601315605685j),-0j
145,47.2,(-207.92291240553473-119.90101163311918j),(-0+0j)
146,47.3,(0.12413291040907691+240.0170187319474j),0j
147,48.1,(207.79764386337732-120.1157668907335j),-0j
148,48.2,(-207.92215298216527-119.9001886691008j),(-0+0j)
149,48.3,(0.12446589456261745+240.01594946377784j),0j
150,49.1,(207.79644431305258-120.11577401436413j),-0j
151,49.2,(-207.92155954809903-119.89914647707192j),(-0+0j)
152,49.3,(0.12507172801347263+240.01491434000965j),0j
153,50.1,(207.79594613346035-120.1157769728456j),-0j
154,50.2,(-207.92131309179368-119.89871364921203j),(-0+0j)
155,50.3,(0.12532333384885894+240.01448444763568j),0j
156,51.1,(207.78311473469154-120.11585317318773j),-0j
157,51.2,(-207.914965222106-119.88756548707403j),(-0+0j)
158,51.3,(0.13180383778001648+240.00341189355348j),0j
159,52.1,(207.78302576689703-120.11585370153044j),-0j
160,52.2,(-207.91492120851277-119.8874881901701j),(-0+0j)
161,52.3,(0.13184877100607392+240.0033351208856j),0j
162,53.1,(207.78293696993381-120.1158542288587j),-0j
163,53.2,(-207.91487727943212-119.88741104168766j),(-0+0j)
164,53.3,(0.13189361795358567+240.00325849563268j),0j
165,54.1,(207.78286336910736-120.11585466594335j),-0j
166,54.2,(-207.91484086808973-119.88734709589654j),(-0+0j)
167,54.3,(0.13193079008510225+240.00319498352889j),0j
168,55.1,(207.7827937268558-120.11585507951972j),-0j
169,55.2,(-207.914806415109-119.8872865893903j),(-0+0j)
170,55.3,(0.13196596293645538+240.0031348873843j),0j
171,56.1,(207.7827201221022-120.11585551662769j),-0j
172,56.2,(-207.91477000182385-119.88722264018719j),(-0+0j)
173,56.3,(0.13200313705149783+240.00307137189165j),0j
174,57.1,(207.78264918977945-120.11585593786515j),-0j
175,57.2,(-207.9147349106271-119.88716101284257j),(-0+0j)
176,57.3,(0.1320389614540626+240.00301016251044j),0j
177,58.1,(207.78257013413094-120.11585640734363j),-0j
178,58.2,(-207.91469580070913-119.88709232779864j),(-0+0j)
179,58.3,(0.1320788885461822+240.00294194329615j),0j
180,59.1,(207.77412203244367-120.1159065770906j),-0j
181,59.2,(-207.91051640846638-119.87975245713479j),(-0+0j)
182,59.3,(0.1363456062456553+239.99565185245376j),0j
183,60.1,(207.752036679216-120.11603773277797j),-0j
184,60.2,(-207.89959048008922-119.86056428418684j),(-0+0j)
185,60.3,(0.14749982419960705+239.97659381583472j),0j
186,61.1,(207.70742848739073-120.11630264219582j),-0j
187,61.2,(-207.8775221932978-119.82180784272025j),(-0+0j)
188,61.3,(0.1700292122977151+239.93810022487637j),0j
189,62.1,(207.69481956209924-120.11637752133628j),-0j
190,62.2,(-207.87128438431978-119.810852969747j),(-0+0j)
191,62.3,(0.17639735590028757+239.92721964907318j),0j
192,63.1,(207.69328665499066-120.1163866246313j),-0j
193,63.2,(-207.87052603406363-119.80952115103398j),(-0+0j)
194,63.3,(0.17717155135087867+239.92589686290313j),0j
195,64.1,(207.69119308721025-120.11639905745592j),-0j
196,64.2,(-207.86949031725229-119.80770221971626j),(-0+0j)
197,64.3,(0.17822890873550473+239.92409026778014j),0j
198,65.1,(207.6903141696768-120.11640427698002j),-0j
199,65.2,(-207.86905550464496-119.80693859952576j),(-0+0j)
200,65.3,(0.17867280644606562+239.9233318265468j),0j
201,66.1,(207.68943366164453-120.11640950594949j),-0j
202,66.2,(-207.8686199051959-119.80617359747968j),(-0+0j)
203,66.3,(0.1791175074388743+239.92257201282982j),0j
204,67.1,(207.68884028774886-120.11641302974924j),-0j
205,67.2,(-207.8683263549584-119.80565806300682j),(-0+0j)
206,67.3,(0.17941719120189537+239.9220599747692j),0j
207,68.1,(207.68820715138128-120.11641678968176j),-0j
208,68.2,(-207.8680131336785-119.80510798214566j),(-0+0j)
209,68.3,(0.17973695701990622+239.92151362461786j),0j
210,69.1,(207.68748259078197-120.11642109254456j),-0j
211,69.2,(-207.86765468357217-119.80447847018145j),(-0+0j)
212,69.3,(0.18010289668875235+239.92088838207394j),0j
213,70.1,(207.68696444159238-120.11642416961617j),-0j
214,70.2,(-207.86739834803268-119.8040282923573j),(-0+0j)
215,70.3,(0.18036458817879422+239.92044125740588j),0j
216,71.1,(207.6860578965043-120.11642955320873j),-0j
217,71.2,(-207.86694986769368-119.80324066882439j),(-0+0j)
