,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.1776756720912-1.693750604046459e-05j),-0j
1,SOURCEBUS.2,(-120.08885164685132-207.9999624332044j),(-0+0j)
2,SOURCEBUS.3,(-120.0888240018042+207.99997941130212j),0j
3,SOURCEBUSZ.1,(239.72747621059068-0.6950602730022001j),-0j
4,SOURCEBUSZ.2,(-120.42349488825329-207.2961994202687j),(-0+0j)
5,SOURCEBUSZ.3,(-119.30398129898789+207.9912597339385j),0j
6,1.1,(206.68268775777383-120.70012149078441j),-0j
7,1.2,(-207.8176263496883-118.65939258369256j),(-0+0j)
8,1.3,(1.0771411258495613+239.39835552530567j),0j
9,2.1,(206.66979327419796-120.69517197392986j),-0j
10,2.2,(-207.80822683257054-118.64775866036982j),(-0+0j)
11,2.3,(1.0808919094461125+239.38882842036907j),0j
12,3.1,(206.6685539037422-120.69469624452796j),-0j
13,3.2,(-207.80732338546906-118.6466404503411j),(-0+0j)
14,3.3,(1.0812524210048964+239.3879127099944j),0j
15,4.1,(206.66732862489857-120.69422592415773j),-0j
16,4.2,(-207.80643021053925-118.64553495433334j),(-0+0j)
17,4.3,(1.0816088335559984+239.3870074112246j),0j
18,5.1,(206.66607361538746-120.69374419174143j),-0j
19,5.2,(-207.80551536324703-118.64440263411757j),(-0+0j)
20,5.3,(1.0819738942472852+239.38608014591483j),0j
21,6.1,(206.6648434637435-120.69327200095832j),-0j
22,6.2,(-207.80461863625771-118.64329274167244j),(-0+0j)
23,6.3,(1.0823317242123187+239.3851712468706j),0j
24,7.1,(206.66360626629358-120.69279710565945j),-0j
25,7.2,(-207.80371677318237-118.642176492217j),(-0+0j)
26,7.3,(1.082691603681352+239.38425714202373j),0j
27,8.1,(206.66238138254224-120.69232693694443j),-0j
28,8.2,(-207.80282388625693-118.64107135267709j),(-0+0j)
29,8.3,(1.083047901307186+239.38335213516797j),0j
30,9.1,(206.66114727997928-120.69185322961032j),-0j
31,9.2,(-207.80192427921907-118.63995789555322j),(-0+0j)
32,9.3,(1.0834068805269415+239.38244031698213j),0j
33,10.1,(206.6599144943893-120.69138002779312j),-0j
34,10.2,(-207.8010256321974-118.63884562665562j),(-0+0j)
35,10.3,(1.083765476661775+239.38152947184346j),0j
36,11.1,(206.65867337894457-120.69090362858098j),-0j
37,11.2,(-207.8001209130742-118.63772584222689j),(-0+0j)
38,11.3,(1.084126495808155+239.38061247218138j),0j
39,12.1,(206.64428742334152-120.68538161373216j),-0j
40,12.2,(-207.7896341777795-118.62474625266064j),(-0+0j)
41,12.3,(1.0883111229789586+239.36998339131517j),0j
42,13.1,(206.6378698134497-120.682918229436j),-0j
43,13.2,(-207.7849560195801-118.61895602608882j),(-0+0j)
44,13.3,(1.0901778953690942+239.3652417324091j),0j
45,14.1,(206.63144858188164-120.68045345496819j),-0j
46,14.2,(-207.78027522133667-118.61316253189476j),(-0+0j)
47,14.3,(1.0920457212423473+239.3604973976232j),0j
48,15.1,(206.62506949345277-120.67800485704423j),-0j
49,15.2,(-207.77562514360673-118.60740706094126j),(-0+0j)
50,15.3,(1.093901288401056+239.35578420034693j),0j
51,16.1,(206.61862949501827-120.67553287895946j),-0j
52,16.2,(-207.7709306651346-118.60159663452319j),(-0+0j)
53,16.3,(1.0957745732332875+239.3510259996386j),0j
54,17.1,(206.61225402826557-120.67308567120713j),-0j
55,17.2,(-207.76628322744872-118.59584443119184j),(-0+0j)
56,17.3,(1.0976290869088448+239.34631547824213j),0j
57,18.1,(206.6102662220004-120.67232265649923j),-0j
58,18.2,(-207.7648342032271-118.59405095217856j),(-0+0j)
59,18.3,(1.0982073055783275+239.34484678515543j),0j
60,19.1,(206.60825352494385-120.67155008752016j),-0j
61,19.2,(-207.76336703470207-118.59223501568901j),(-0+0j)
62,19.3,(1.098792764551299+239.34335970147694j),0j
63,20.1,(206.60627124996572-120.6707891959836j),-0j
64,20.2,(-207.76192204254778-118.59044652722613j),(-0+0j)
65,20.3,(1.099369374264537+239.34189509518833j),0j
66,21.1,(206.60428242304636-120.6700257895j),-0j
67,21.2,(-207.76047227431374-118.58865212733762j),(-0+0j)
68,21.3,(1.0999478898247679+239.34042564799j),0j
69,22.1,(206.60230423068472-120.66926646506619j),-0j
70,22.2,(-207.75903025820918-118.5868673223762j),(-0+0j)
71,22.3,(1.1005233119749454+239.33896405814758j),0j
72,23.1,(206.49521785589565-120.62816161475656j),-0j
73,23.2,(-207.6809689533525-118.49024967450514j),(-0+0j)
74,23.3,(1.1316728974335493+239.25984315935037j),0j
75,24.1,(206.44995425038934-120.60798155417937j),-0j
76,24.2,(-207.64357016612476-118.45520621953385j),(-0+0j)
77,24.3,(1.1401783603004543+239.22132216614563j),0j
78,25.1,(206.44211029800388-120.60448445242326j),-0j
79,25.2,(-207.63708914670505-118.4491333672026j),(-0+0j)
80,25.3,(1.1416523137117958+239.21464667414358j),0j
81,26.1,(206.4324303650782-120.60016880786415j),-0j
82,26.2,(-207.62909115918652-118.44163908366463j),(-0+0j)
83,26.3,(1.1434712653649384+239.20640869516924j),0j
84,27.1,(206.42279137665636-120.59587141776267j),-0j
85,27.2,(-207.62112700182303-118.43417649969773j),(-0+0j)
86,27.3,(1.145282523155504+239.19820556147377j),0j
87,28.1,(206.41319804316797-120.59159438218919j),-0j
88,28.2,(-207.61320056657928-118.4267492621552j),(-0+0j)
89,28.3,(1.1470852019489166+239.19004128180597j),0j
90,29.1,(206.4040315470738-120.58750764529768j),-0j
91,29.2,(-207.60562680321638-118.41965248562727j),(-0+0j)
92,29.3,(1.1488076739278783+239.1822402564609j),0j
93,30.1,(206.39430414751078-120.58317083849134j),-0j
94,30.2,(-207.59758959666883-118.41212145302921j),(-0+0j)
95,30.3,(1.1506355450144627+239.17396188163215j),0j
96,31.1,(206.38513583971277-120.57908329388061j),-0j
97,31.2,(-207.5900143363965-118.40502327386554j),(-0+0j)
98,31.3,(1.1523583574297958+239.1661593144605j),0j
99,32.1,(206.3713455134082-120.57293509562973j),-0j
100,32.2,(-207.57862016057925-118.3943466900299j),(-0+0j)
101,32.3,(1.1549496911734034+239.15442323952925j),0j
102,33.1,(206.1021408356368-120.4529144599731j),-0j
103,33.2,(-207.3561913824937-118.1859262184856j),(-0+0j)
104,33.3,(1.2055358158256617+238.92532015665967j),0j
105,34.1,(206.06451537297428-120.43613974423258j),-0j
106,34.2,(-207.3251035657654-118.15679627640912j),(-0+0j)
107,34.3,(1.2126059988556765+238.89329950396606j),0j
108,35.1,(206.04372498587233-120.42687067990506j),-0j
109,35.2,(-207.30792563097896-118.14070018803788j),(-0+0j)
110,35.3,(1.2165127107382343+238.8756061198151j),0j
111,36.1,(206.02817549526466-120.41993818615225j),-0j
112,36.2,(-207.29507795602635-118.12866164475712j),(-0+0j)
113,36.3,(1.2194346082203442+238.86237293135517j),0j
114,37.1,(206.01286913529486-120.41311408833802j),-0j
115,37.2,(-207.28243116633018-118.1168113352122j),(-0+0j)
116,37.3,(1.222310819138373+238.84934665601114j),0j
117,38.1,(205.99917265524238-120.40700772995015j),-0j
118,38.2,(-207.27111453042573-118.10620740791539j),(-0+0j)
119,38.3,(1.2248845182766506+238.8376904476926j),0j
120,39.1,(205.98650015012717-120.40135789454644j),-0j
121,39.2,(-207.26064394777703-118.09639625042128j),(-0+0j)
122,39.3,(1.22726580276504+238.8269056797104j),0j
123,40.1,(205.87889944334447-120.35338582611016j),-0j
124,40.2,(-207.1717394980903-118.01309089989094j),(-0+0j)
125,40.3,(1.2474850010743554+238.73533352039203j),0j
126,41.1,(205.75113809766972-120.29642545659696j),-0j
127,41.2,(-207.06617743936334-117.91417701722334j),(-0+0j)
128,41.3,(1.271492575575423+238.62660391581338j),0j
129,42.1,(205.7240632727363-120.2843545753413j),-0j
130,42.2,(-207.0438070248648-117.89321546549138j),(-0+0j)
131,42.3,(1.2765801932211096+238.6035622439094j),0j
132,43.1,(205.72357428257516-120.28389027202076j),-0j
133,43.2,(-207.04381408936743-117.89320747885515j),(-0+0j)
134,43.3,(1.2765731287185476+238.60357023054573j),0j
135,44.1,(205.67014380585667-120.26053644895848j),-0j
136,44.2,(-206.99762375829448-117.85091765337437j),(-0+0j)
137,44.3,(1.287458648469161+238.55597150839893j),0j
138,45.1,(205.70219465009941-120.26358999782302j),-0j
139,45.2,(-207.04412296361883-117.89285828707058j),(-0+0j)
140,45.3,(1.276264254470388+238.603919422336j),0j
141,46.1,(205.45955268049653-120.16751093648229j),-0j
142,46.2,(-206.8172476039538-117.68571676454015j),(-0+0j)
143,46.3,(1.3299462000983002+238.3700982583865j),0j
144,47.1,(205.6960526295819-120.25775805937529j),-0j
145,47.2,(-207.04421169816516-117.89275796995295j),(-0+0j)
146,47.3,(1.2761755199249443+238.6040197394552j),0j
147,48.1,(205.2043925094327-120.05479770777376j),-0j
148,48.2,(-206.59869703436692-117.48555312049899j),(-0+0j)
149,48.3,(1.3814257243340418+238.1448871998089j),0j
