,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17770558826254-2.1468177990516925e-06j),-0j
1,SOURCEBUS.2,(-120.08885454491943-207.99999433354745j),(-0+0j)
2,SOURCEBUS.3,(-120.08885101990741+207.9999965209569j),0j
3,SOURCEBUSZ.1,(240.11369802014707-0.09403577222219556j),-0j
4,SOURCEBUSZ.2,(-120.12530954788329-207.91368433730563j),(-0+0j)
5,SOURCEBUSZ.3,(-119.98838844898533+208.00772015008022j),0j
6,1.1,(207.81802520720166-120.17926652226774j),-0j
7,1.2,(-207.96961625168078-119.90373122363239j),(-0+0j)
8,1.3,(0.1261179077055659+240.092770594108j),0j
9,2.1,(207.81677212748033-120.17851544385381j),-0j
10,2.2,(-207.9689033635364-119.90243933309709j),(-0+0j)
11,2.3,(0.12632637968737642+240.0924605731901j),0j
12,3.1,(207.8166126956862-120.17841988267199j),-0j
13,3.2,(-207.9688126613776-119.90227496332686j),(-0+0j)
14,3.3,(0.1263529039870726+240.0924211286198j),0j
15,4.1,(207.81645207994313-120.1783236118477j),-0j
16,4.2,(-207.96872128565954-119.90210937293793j),(-0+0j)
17,4.3,(0.12637962525775465+240.0923813911319j),0j
18,5.1,(207.81629527190088-120.17822962330591j),-0j
19,5.2,(-207.96863207617622-119.90194770818322j),(-0+0j)
20,5.3,(0.12640571305004256+240.0923425956965j),0j
21,6.1,(207.81613967289132-120.17813635944137j),-0j
22,6.2,(-207.96854355452243-119.90178728990787j),(-0+0j)
23,6.3,(0.12643159969821352+240.09230409938462j),0j
24,7.1,(207.81598031634817-120.17804084336397j),-0j
25,7.2,(-207.9684528951747-119.90162299771934j),(-0+0j)
26,7.3,(0.12645811147843156+240.09226467343206j),0j
27,8.1,(207.81582407017981-120.17794719160162j),-0j
28,8.2,(-207.9683640053469-119.9014619122414j),(-0+0j)
29,8.3,(0.12648410579272676+240.09222601700844j),0j
30,9.1,(207.8156634594532-120.17785092378432j),-0j
31,9.2,(-207.96827263248323-119.90129632702462j),(-0+0j)
32,9.3,(0.12651082622849946+240.09218628076184j),0j
33,10.1,(207.81550850760217-120.17775804781748j),-0j
34,10.2,(-207.96818447900378-119.90113657595188j),(-0+0j)
35,10.3,(0.12653660521038504+240.0921479445618j),0j
36,11.1,(207.8030068074482-120.17026470403674j),-0j
37,11.2,(-207.96107215113528-119.88824766885861j),(-0+0j)
38,11.3,(0.12861648421667424+240.08905493421653j),0j
39,12.1,(207.80219570195825-120.16977853877887j),-0j
40,12.2,(-207.96061070604307-119.88741144153151j),(-0+0j)
41,12.3,(0.12875142596535696+240.08885426089688j),0j
42,13.1,(207.80138404462758-120.16929204275549j),-0j
43,13.2,(-207.96014894700374-119.8865746452719j),(-0+0j)
44,13.3,(0.12888645952255198+240.08865345104786j),0j
45,14.1,(207.8005728388029-120.16880581735843j),-0j
46,14.2,(-207.9596874448302-119.88573831450248j),(-0+0j)
47,14.3,(0.12902141796372285+240.08845275290466j),0j
48,15.1,(207.799758321934-120.16831760736794j),-0j
49,15.2,(-207.9592240589744-119.88489857013813j),(-0+0j)
50,15.3,(0.12915692725554673+240.08825123558537j),0j
51,16.1,(207.7989461127626-120.16783078057887j),-0j
52,16.2,(-207.958761985988-119.88406120494605j),(-0+0j)
53,16.3,(0.12929205262103974+240.088050289207j),0j
54,17.1,(207.7982864624602-120.16743539543681j),-0j
55,17.2,(-207.9583867050925-119.88338112372854j),(-0+0j)
56,17.3,(0.12940179711951902+240.0878870869878j),0j
57,18.1,(207.7976242536238-120.16703847674522j),-0j
58,18.2,(-207.95800996862414-119.88269840473305j),(-0+0j)
59,18.3,(0.1295119672755671+240.087723251769j),0j
60,19.1,(207.79696475382372-120.16664318181184j),-0j
61,19.2,(-207.95763477335032-119.88201847867886j),(-0+0j)
62,19.3,(0.12962168673564753+240.08756008678526j),0j
63,20.1,(207.796303799171-120.16624701486018j),-0j
64,20.2,(-207.9572587503978-119.88133705271169j),(-0+0j)
65,20.3,(0.1297316482363547+240.08739656186046j),0j
66,21.1,(207.79564209200845-120.16585039686454j),-0j
67,21.2,(-207.9568822993356-119.8806548509275j),(-0+0j)
68,21.3,(0.1298417349305463+240.0872328507593j),0j
69,22.1,(207.78008921448367-120.15652822013764j),-0j
70,22.2,(-207.94803412964032-119.86462026433539j),(-0+0j)
71,22.3,(0.1324292312851319+240.08338495723754j),0j
72,23.1,(207.7754912075003-120.15425747153633j),-0j
73,23.2,(-207.94507448599433-119.8606780848854j),(-0+0j)
74,23.3,(0.13316778037718457+240.08135115448513j),0j
75,24.1,(207.77325620384113-120.15315370387107j),-0j
76,24.2,(-207.9436358595627-119.85876186650474j),(-0+0j)
77,24.3,(0.13352677503063226+240.08036256168603j),0j
78,25.1,(207.77158388261944-120.15232781972409j),-0j
79,25.2,(-207.94255942038012-119.857328073477j),(-0+0j)
80,25.3,(0.13379538952486789+240.07962285608838j),0j
81,26.1,(207.77015436639172-120.15162184603021j),-0j
82,26.2,(-207.94163926983757-119.8561024534385j),(-0+0j)
83,26.3,(0.13402500377203458+240.07899054864535j),0j
84,27.1,(207.76907554684976-120.15108906563759j),-0j
85,27.2,(-207.940944855624-119.85517750916502j),(-0+0j)
86,27.3,(0.13419828780496276+240.07851336229868j),0j
87,28.1,(207.7671018494676-120.15011434537593j),-0j
88,28.2,(-207.93967442673207-119.85348532616297j),(-0+0j)
89,28.3,(0.13451531046615642+240.07764035119115j),0j
90,29.1,(207.76538746217122-120.14926768668886j),-0j
91,29.2,(-207.93857091047215-119.85201546707097j),(-0+0j)
92,29.3,(0.13479068177075465+240.07688203881477j),0j
93,30.1,(207.76408974324028-120.14862680174495j),-0j
94,30.2,(-207.9377355951707-119.8509028456851j),(-0+0j)
95,30.3,(0.13499912624295138+240.07630802830468j),0j
96,31.1,(207.76213011657066-120.14765903037473j),-0j
97,31.2,(-207.93647422331028-119.84922272644765j),(-0+0j)
98,31.3,(0.1353138888139088+240.07544124099203j),0j
99,32.1,(207.72624785218557-120.1299383957711j),-0j
100,32.2,(-207.91337753898392-119.81845845710399j),(-0+0j)
101,32.3,(0.1410774324339657+240.0595697017858j),0j
102,33.1,(207.725007438544-120.12932581132921j),-0j
103,33.2,(-207.9125791099326-119.8173949673822j),(-0+0j)
104,33.3,(0.14127667231622568+240.05902103870446j),0j
105,34.1,(207.720856919169-120.12727605670736j),-0j
106,34.2,(-207.90990750496465-119.81383644904012j),(-0+0j)
107,34.3,(0.14194334427453592+240.05718516986738j),0j
108,35.1,(207.71809599220066-120.12591255920195j),-0j
109,35.2,(-207.90813035238725-119.81146932137005j),(-0+0j)
110,35.3,(0.14238681469888906+240.05596394926226j),0j
111,36.1,(207.7160881648205-120.1249209836711j),-0j
