,bus,vLN,sInjkW
0,SOURCEBUS.1,(2401.7771504556536-3.284446901137232e-06j),-0j
1,SOURCEBUS.2,(-1200.8885846000696-2080.000021232754j),(-0+0j)
2,SOURCEBUS.3,(-1200.888565275527+2080.0000271238605j),0j
3,N2.1,(2579.00847386302-80.08684353452725j),-0j
4,N2.2,(-1356.162851883319-2160.342822420696j),(-0+0j)
5,N2.3,(-1207.6759206677627+2261.9811671811653j),0j
6,N3.1,(2638.370410511471-107.3587724581916j),-0j
7,N3.2,(-1408.392177806902-2186.844427413445j),(-0+0j)
8,N3.3,(-1209.5194041317266+2323.052856971337j),0j
