,bus,vLN,sInjkW
0,SOURCEBUS.1,(240.17769479859552-7.422657344277523e-06j),-0j
1,SOURCEBUS.2,(-120.08885337871932-207.99998378577885j),(-0+0j)
2,SOURCEBUS.3,(-120.08884139644049+207.99999124902783j),0j
3,SOURCEBUSZ.1,(239.97375626471054-0.30972726485046903j),-0j
4,SOURCEBUSZ.2,(-120.22008644991712-207.70722380377683j),(-0+0j)
5,SOURCEBUSZ.3,(-119.75366979139297+208.01695110919215j),0j
6,1.1,(207.41143457744604-120.38010794722202j),-0j
7,1.2,(-207.9101377791801-119.47133316116782j),(-0+0j)
8,1.3,(0.4377286483773394+239.87781945349815j),0j
9,2.1,(207.33884468153346-120.30501494029305j),-0j
10,2.2,(-207.82885619489633-119.42416502054498j),(-0+0j)
11,2.3,(0.4271221830963384+239.82568078291902j),0j
12,3.1,(207.33407814814402-120.30008404295064j),-0j
13,3.2,(-207.82351893162337-119.42106777795533j),(-0+0j)
14,3.3,(0.4264257215534897+239.82225715610326j),0j
15,4.1,(207.3288744119626-120.2947008667907j),-0j
16,4.2,(-207.8176921162558-119.41768644565164j),(-0+0j)
17,4.3,(0.4256653781690666+239.8185195024926j),0j
18,5.1,(207.3248175436546-120.29050410584837j),-0j
19,5.2,(-207.8131494911537-119.41505033586743j),(-0+0j)
20,5.3,(0.42507260926772933+239.81560560218114j),0j
21,6.1,(207.3184067185847-120.28387221685931j),-0j
22,6.2,(-207.80597105382793-119.4108846500701j),(-0+0j)
23,6.3,(0.42413589221291115+239.81100094071593j),0j
24,7.1,(206.79331860442207-119.74067753526697j),-0j
25,7.2,(-207.21801052192865-119.06968799040993j),(-0+0j)
26,7.3,(0.3474126956730917+239.43384932937627j),0j
27,8.1,(206.78237563647284-119.72935722191279j),-0j
28,8.2,(-207.20575727703044-119.06257736647777j),(-0+0j)
29,8.3,(0.34581376502116223+239.42598939523657j),0j
30,9.1,(206.77582871368736-119.72258454216261j),-0j
31,9.2,(-207.198426446072-119.05832324583557j),(-0+0j)
32,9.3,(0.344857162062438+239.42128697975377j),0j
33,10.1,(206.7658072962823-119.7122175570994j),-0j
34,10.2,(-207.1872050953142-119.05181143562433j),(-0+0j)
35,10.3,(0.3433928836747289+239.4140889617064j),0j
36,11.1,(206.75395789975713-119.69995955887218j),-0j
37,11.2,(-207.17393688890152-119.04411182406527j),(-0+0j)
38,11.3,(0.34166151030331515+239.40557797303177j),0j
39,12.1,(206.7413888754421-119.68695711799306j),-0j
40,12.2,(-207.1598628887055-119.03594460603881j),(-0+0j)
41,12.3,(0.3398249885903779+239.3965501020032j),0j
42,13.1,(206.7230610497531-119.66799729549672j),-0j
43,13.2,(-207.13934054616914-119.02403538026263j),(-0+0j)
44,13.3,(0.33714702019883513+239.3833858943123j),0j
45,14.1,(206.39612854079405-119.32979120147648j),-0j
46,14.2,(-206.7732621553664-118.8115981207184j),(-0+0j)
47,14.3,(0.2893773098128061+239.148562215723j),0j
48,15.1,(205.85913854798136-118.77428422979168j),-0j
49,15.2,(-206.1719746508845-118.46266774717118j),(-0+0j)
50,15.3,(0.21091507147949137+238.7628619197218j),0j
51,16.1,(205.73968834061182-118.65071503138739j),-0j
52,16.2,(-206.0382218471816-118.38505027564361j),(-0+0j)
53,16.3,(0.19346161654548155+238.67706519919344j),0j
54,17.1,(205.71006173595276-118.62006681511563j),-0j
55,17.2,(-206.005047845021-118.36579922372641j),(-0+0j)
56,17.3,(0.18913272821077465+238.65578549130407j),0j
57,18.1,(205.69006204322923-118.59937747474014j),-0j
58,18.2,(-205.98265345129082-118.35280363657154j),(-0+0j)
59,18.3,(0.1862104751370234+238.64142044259432j),0j
60,19.1,(205.66612174344863-118.57461164369982j),-0j
61,19.2,(-205.95584661447026-118.33724748495412j),(-0+0j)
62,19.3,(0.18271244066283676+238.62422499978283j),0j
63,20.1,(205.62217463472393-118.52914911067563j),-0j
64,20.2,(-205.9066374156251-118.30869112213786j),(-0+0j)
65,20.3,(0.17629111332903283+238.59265939694026j),0j
66,21.1,(205.5897099924089-118.49556499294421j),-0j
67,21.2,(-205.8702855580065-118.28759594360274j),(-0+0j)
68,21.3,(0.17154754540997336+238.56934123027418j),0j
69,22.1,(205.5695057083482-118.47466400632658j),-0j
70,22.2,(-205.84766207580907-118.27446741517798j),(-0+0j)
71,22.3,(0.1685953984937077+238.55482923108048j),0j
72,23.1,(205.53272374405785-118.4366136927844j),-0j
73,23.2,(-205.80647595350885-118.25056688684171j),(-0+0j)
74,23.3,(0.1632210055121692+238.52841008974787j),0j
75,24.1,(205.4493750124012-118.35039085411692j),-0j
76,24.2,(-205.71314730394357-118.19640776942683j),(-0+0j)
77,24.3,(0.15104251404001742+238.4685437404645j),0j
78,25.1,(204.98140346237713-117.86628228213651j),-0j
79,25.2,(-205.1891422959414-117.89232484433838j),(-0+0j)
80,25.3,(0.08266489847374003+238.13241687072616j),0j
81,26.1,(204.8669210593035-117.75661915983818j),-0j
82,26.2,(-205.19065100747466-117.89064442835556j),(-0+0j)
83,26.3,(0.08115618694995706+238.13409728671982j),0j
84,27.1,(204.82285058297248-117.69846904788226j),-0j
85,27.2,(-204.95954082884697-117.78216874302107j),(-0+0j)
86,27.3,(0.06833880993244136+237.9789514474862j),0j
87,28.1,(204.86238593560583-117.75227502603491j),-0j
88,28.2,(-205.19071077389165-117.89057786120615j),(-0+0j)
89,28.3,(0.08109642053356561+238.1341638538699j),0j
90,29.1,(204.8495989417053-117.7400256414405j),-0j
91,29.2,(-205.19087928714464-117.89039015928333j),(-0+0j)
92,29.3,(0.0809279072800029+238.1343515557921j),0j
93,30.1,(204.7086878256003-117.5776385614354j),-0j
94,30.2,(-204.79422098931695-117.7028530956801j),(-0+0j)
95,30.3,(0.05802360294046514+237.8684518088537j),0j
96,31.1,(204.859627078729-117.74963235425437j),-0j
97,31.2,(-205.19074713166307-117.89053736633765j),(-0+0j)
98,31.3,(0.08106006276256401+238.13420434873885j),0j
99,32.1,(204.84111028348553-117.73189403134477j),(0.9999994379421294+0.3286852209521188j)
100,32.2,(-205.19099115499716-117.89026555539253j),(-0+0j)
101,32.3,(0.08081603942748743+238.13447615968292j),0j
102,33.1,(204.53400007001767-117.39274808603665j),-0j
103,33.2,(-204.54125450194786-117.58148713767844j),(-0+0j)
104,33.3,(0.04223964327383035+237.69936922614696j),0j
105,34.1,(204.85753608191325-117.74762941661575j),-0j
106,34.2,(-205.19077468799804-117.89050667440804j),(-0+0j)
107,34.3,(0.08103250642789583+238.1342350406689j),0j
108,35.1,(204.29816153626842-117.14313529275975j),-0j
109,35.2,(-204.19973517067098-117.41763610251722j),(-0+0j)
110,35.3,(0.020930388414407912+237.47109799869256j),0j
111,36.1,(204.8567170309838-117.74684485878086j),-0j
112,36.2,(-205.19078548191294-117.8904946522694j),(-0+0j)
113,36.3,(0.08102171251308199+238.13424706280762j),0j
114,37.1,(204.25482901895566-117.09727191957046j),-0j
115,37.2,(-204.13698506745965-117.38753042935012j),(-0+0j)
116,37.3,(0.017015067026186163+237.4291558836436j),0j
117,38.1,(204.29816153626874-117.14313529275972j),-0j
118,38.2,(-204.1997351706703-117.41763610251694j),(-0+0j)
119,38.3,(0.020930388414658854+237.47109799869264j),0j
120,39.1,(204.85541444033478-117.74559712477239j),-0j
121,39.2,(-205.1908026481867-117.89047553267034j),(-0+0j)
122,39.3,(0.08100454623928957+238.13426618240663j),0j
123,40.1,(203.86927977061163-116.74450673386819j),-0j
124,40.2,(-203.73763967137364-117.17932403425326j),(-0+0j)
125,40.3,(-0.05719459148311817+237.0883830321481j),0j
126,41.1,(204.2565620987749-117.09691247545447j),-0j
127,41.2,(-204.01756734497962-117.35321867988556j),(-0+0j)
128,41.3,(0.018748146845827655+237.42951532775933j),0j
129,42.1,(204.29816153626896-117.14313529275972j),-0j
130,42.2,(-204.1997351706698-117.41763610251671j),(-0+0j)
131,42.3,(0.020930388414832336+237.47109799869273j),0j
132,43.1,(204.85306631363076-117.74334788588294j),-0j
133,43.2,(-205.19083359312398-117.8904410665538j),(-0+0j)
134,43.3,(0.08097360130202391+238.13430064852318j),0j
135,44.1,(203.70950234466437-116.59831551814828j),-0j
136,44.2,(-203.57214491363632-117.09304016256318j),(-0+0j)
137,44.3,(-0.0879481936959639+236.94716162067212j),0j
138,45.1,(204.25667733079825-117.09688857610936j),-0j
139,45.2,(-204.00962729188197-117.35093730064837j),(-0+0j)
140,45.3,(0.01886337886921864+237.4295392271045j),0j
141,46.1,(204.29816153626913-117.14313529275982j),-0j
142,46.2,(-204.1997351706695-117.41763610251662j),(-0+0j)
143,46.3,(0.020930388414959956+237.47109799869273j),0j
144,47.1,(204.84247768224546-117.73320517873813j),-0j
145,47.2,(-205.19097313607682-117.89028564521186j),(-0+0j)
