,bus,vLN,sInjkW
105,34.1,(206.9876760360453-120.1964050626742j),-0j
106,34.2,(-207.66280309624622-119.22084211793445j),(-0+0j)
107,34.3,(0.5484293073507943+239.48490983820093j),0j
108,35.1,(206.8687497522301-120.13964612591853j),-0j
109,35.2,(-207.57995772933197-119.14929351190845j),(-0+0j)
110,35.3,(0.5535536957272496+239.38159444042083j),0j
111,36.1,(206.79601416601338-120.10493223084404j),-0j
112,36.2,(-207.529289314121-119.10553422140231j),(-0+0j)
113,36.3,(0.5566877833368779+239.3184065076808j),0j
114,37.1,(206.6420380936817-120.03144537940139j),-0j
115,37.2,(-207.42202787620263-119.01289890998716j),(-0+0j)
116,37.3,(0.5633224243093538+239.1846421399463j),0j
117,38.1,(206.61282616996905-120.00256205816466j),-0j
118,38.2,(-207.42276436337053-119.0120711046954j),(-0+0j)
119,38.3,(0.5625859371418019+239.1854699452341j),0j
120,39.1,(206.39469122633437-119.91572130677174j),-0j
121,39.2,(-207.2361992485563-118.86122027076341j),(-0+0j)
122,39.3,(0.5791668638850457+238.95387428571541j),0j
123,40.1,(206.61229767725342-120.00203951041918j),-0j
124,40.2,(-207.42277768765913-119.01205612830864j),(-0+0j)
125,40.3,(0.5625726128531652+239.1854849216208j),0j
126,41.1,(206.32197422873114-119.8816998242994j),-0j
127,41.2,(-207.18156787191475-118.81662857909096j),(-0+0j)
128,41.3,(0.5838249381392356+238.8860313181332j),0j
129,42.1,(206.6118319159416-120.00157898841722j),-0j
130,42.2,(-207.42278943037184-119.01204292959966j),(-0+0j)
131,42.3,(0.5625608701404189+239.18549812032958j),0j
132,43.1,(206.32131157391612-119.88020462401022j),-0j
133,43.2,(-207.17781118131276-118.81398533267226j),(-0+0j)
134,43.3,(0.5850999942270763+238.88544655620632j),0j
135,44.1,(206.10695142227354-119.82653993436077j),-0j
136,44.2,(-207.07974052785514-118.69723262247712j),(-0+0j)
137,44.3,(0.6115172514025846+238.69833239513588j),0j
138,45.1,(206.3219742287311-119.8816998242994j),-0j
139,45.2,(-207.18156787191472-118.81662857909097j),(-0+0j)
140,45.3,(0.5838249381392447+238.88603131813318j),0j
141,46.1,(206.3219742287312-119.88169982429945j),-0j
142,46.2,(-207.18156787191472-118.81662857909095j),(-0+0j)
143,46.3,(0.583824938139241+238.8860313181332j),0j
144,47.1,(206.61133711231318-120.00108975079327j),-0j
145,47.2,(-207.4228019052956-119.0120289078917j),(-0+0j)
146,47.3,(0.5625483952166126+239.18551214203734j),0j
147,48.1,(206.3210403986842-119.87959274996061j),-0j
148,48.2,(-207.17627384781443-118.81290364889927j),(-0+0j)
149,48.3,(0.5856217796609801+238.88520725672882j),0j
150,49.1,(206.32131157391615-119.88020462401025j),-0j
151,49.2,(-207.17781118131273-118.81398533267225j),(-0+0j)
152,49.3,(0.5850999942271026+238.88544655620635j),0j
153,50.1,(205.95745825351824-119.7881903896267j),-0j
154,50.2,(-207.00894574761674-118.61422338180724j),(-0+0j)
155,50.3,(0.6307701470750827+238.56783597369508j),0j
156,51.1,(206.10695142227348-119.82653993436072j),-0j
157,51.2,(-207.0797405278551-118.69723262247707j),(-0+0j)
158,51.3,(0.6115172514025655+238.6983323951359j),0j
159,52.1,(206.6108993865177-120.00065694893846j),-0j
160,52.2,(-207.42281294118052-119.01201650365107j),(-0+0j)
161,52.3,(0.562537359331603+239.18552454627783j),0j
162,53.1,(206.3208831465132-119.87923792949265j),-0j
163,53.2,(-207.17538236141846-118.81227638983708j),(-0+0j)
164,53.3,(0.5859243585200908+238.8850684890321j),0j
165,54.1,(206.32104039868412-119.87959274996057j),-0j
166,54.2,(-207.17627384781449-118.81290364889924j),(-0+0j)
167,54.3,(0.5856217796609662+238.88520725672882j),0j
168,55.1,(205.83517399514548-119.75682075798538j),-0j
169,55.2,(-206.9510361637193-118.54632246353837j),(-0+0j)
170,55.3,(0.6465188671567927+238.4610909080237j),0j
171,56.1,(205.9574582535183-119.78819038962673j),-0j
172,56.2,(-207.00894574761668-118.61422338180724j),(-0+0j)
173,56.3,(0.6307701470751047+238.56783597369508j),0j
174,57.1,(206.61046545558497-120.00022789925828j),-0j
175,57.2,(-207.42282388138997-119.01200420694903j),(-0+0j)
176,57.3,(0.5625264191221635+239.18553684297993j),0j
177,58.1,(206.32076486315057-119.87897103741841j),-0j
178,58.2,(-207.17471179510483-118.81180457243302j),(-0+0j)
179,58.3,(0.5861519550275355+238.88496410948892j),0j
180,59.1,(206.32088314651318-119.87923792949266j),-0j
181,59.2,(-207.17538236141849-118.81227638983711j),(-0+0j)
182,59.3,(0.5859243585201134+238.8850684890321j),0j
183,60.1,(205.8312007544574-119.75462953321316j),-0j
184,60.2,(-206.9499484153756-118.54424611753804j),(-0+0j)
185,60.3,(0.6460593810236965+238.45964027330166j),0j
186,61.1,(205.83517399514554-119.75682075798541j),-0j
187,61.2,(-206.95103616371927-118.54632246353836j),(-0+0j)
188,61.3,(0.6465188671568207+238.46109090802372j),0j
189,62.1,(205.53473922487095-119.70217470187171j),-0j
190,62.2,(-206.77213129245462-118.3788987322081j),(-0+0j)
191,62.3,(0.7084278826923128+238.1217136581551j),0j
192,63.1,(206.60978617516184-119.99955626000347j),-0j
193,63.2,(-207.42284100731834-119.01198495755158j),(-0+0j)
194,63.3,(0.5625092931937509+239.1855560923774j),0j
195,64.1,(206.32064136075113-119.87869236921996j),-0j
196,64.2,(-207.17401164128023-118.81131193694978j),(-0+0j)
197,64.3,(0.5863895938142338+238.88485512438953j),0j
198,65.1,(206.3207648631506-119.8789710374184j),-0j
199,65.2,(-207.17471179510483-118.81180457243303j),(-0+0j)
200,65.3,(0.5861519550275429+238.88496410948892j),0j
201,66.1,(205.8289643644636-119.75339617396322j),-0j
202,66.2,(-206.94933616212873-118.54307741929307j),(-0+0j)
203,66.3,(0.645800753301081+238.4588237647556j),0j
204,67.1,(205.83120075445743-119.75462953321313j),-0j
205,67.2,(-206.94994841537562-118.54424611753804j),(-0+0j)
206,67.3,(0.6460593810237023+238.45964027330166j),0j
207,68.1,(205.44609090143226-119.68605046547728j),-0j
208,68.2,(-206.71934240627422-118.32949754914027j),(-0+0j)
209,68.3,(0.7266951772133947+238.02157470224586j),0j
210,69.1,(206.60776300994323-119.99755585320011j),-0j
211,69.2,(-207.42289201509294-119.0119276252481j),(-0+0j)
212,69.3,(0.5624582854191718+239.1856134246809j),0j
213,70.1,(206.31664913069756-119.86968438588053j),-0j
214,70.2,(-207.15137908391375-118.79538743515823j),(-0+0j)
215,70.3,(0.5940712964399131+238.88133216782091j),0j
216,71.1,(206.3206413607511-119.87869236921996j),-0j
217,71.2,(-207.1740116412802-118.81131193694976j),(-0+0j)
218,71.3,(0.5863895938142366+238.88485512438953j),0j
219,72.1,(205.8264528498111-119.75201108467346j),-0j
220,72.2,(-206.9486485884028-118.54176494571949j),(-0+0j)
221,72.3,(0.6455103087379754+238.45790680788198j),0j
222,73.1,(205.8289643644636-119.75339617396321j),-0j
223,73.2,(-206.94933616212876-118.54307741929311j),(-0+0j)
224,73.3,(0.6458007533010717+238.45882376475558j),0j
